,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Poland,PL,,,,51.92,19.15,6674,232,439,6003,2020-04-13 00:00:00+00:00
1,Poland,PL,,,,51.92,19.15,6934,245,487,6202,2020-04-14 00:00:00+00:00
2,Poland,PL,,,,51.92,19.15,7202,263,618,6321,2020-04-15 00:00:00+00:00
3,Poland,PL,,,,51.92,19.15,7771,292,774,6705,2020-04-16 00:00:00+00:00
4,Poland,PL,,,,51.92,19.15,7918,314,774,6830,2020-04-17 00:00:00+00:00
5,Poland,PL,,,,51.92,19.15,8379,332,866,7181,2020-04-18 00:00:00+00:00
6,Poland,PL,,,,51.92,19.15,8742,347,981,7414,2020-04-19 00:00:00+00:00
7,Poland,PL,,,,51.92,19.15,9287,360,1040,7887,2020-04-20 00:00:00+00:00
8,Poland,PL,,,,51.92,19.15,9593,380,1133,8080,2020-04-21 00:00:00+00:00
9,Poland,PL,,,,51.92,19.15,9856,401,1297,8158,2020-04-22 00:00:00+00:00
10,Poland,PL,,,,51.92,19.15,10169,426,1513,8230,2020-04-23 00:00:00+00:00
11,Poland,PL,,,,51.92,19.15,10511,454,1740,8317,2020-04-24 00:00:00+00:00
12,Poland,PL,,,,51.92,19.15,10892,494,1944,8454,2020-04-25 00:00:00+00:00
13,Poland,PL,,,,51.92,19.15,11273,524,2126,8623,2020-04-26 00:00:00+00:00
14,Poland,PL,,,,51.92,19.15,11617,535,2265,8817,2020-04-27 00:00:00+00:00
15,Poland,PL,,,,51.92,19.15,11902,562,2466,8874,2020-04-28 00:00:00+00:00
16,Poland,PL,,,,51.92,19.15,13693,678,3945,9070,2020-05-04 00:00:00+00:00
17,Poland,PL,,,,51.92,19.15,14006,698,4095,9213,2020-05-05 00:00:00+00:00
18,Poland,PL,,,,51.92,19.15,14431,716,4280,9435,2020-05-06 00:00:00+00:00
