,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Qatar,QA,,,,25.35,51.18,1,0,0,1,2020-02-29 00:00:00+00:00
1,Qatar,QA,,,,25.35,51.18,3,0,0,3,2020-03-01 00:00:00+00:00
2,Qatar,QA,,,,25.35,51.18,3,0,0,3,2020-03-02 00:00:00+00:00
3,Qatar,QA,,,,25.35,51.18,7,0,0,7,2020-03-03 00:00:00+00:00
4,Qatar,QA,,,,25.35,51.18,8,0,0,8,2020-03-04 00:00:00+00:00
5,Qatar,QA,,,,25.35,51.18,8,0,0,8,2020-03-05 00:00:00+00:00
6,Qatar,QA,,,,25.35,51.18,8,0,0,8,2020-03-06 00:00:00+00:00
7,Qatar,QA,,,,25.35,51.18,8,0,0,8,2020-03-07 00:00:00+00:00
8,Qatar,QA,,,,25.35,51.18,15,0,0,15,2020-03-08 00:00:00+00:00
9,Qatar,QA,,,,25.35,51.18,18,0,0,18,2020-03-09 00:00:00+00:00
10,Qatar,QA,,,,25.35,51.18,24,0,0,24,2020-03-10 00:00:00+00:00
11,Qatar,QA,,,,25.35,51.18,262,0,0,262,2020-03-11 00:00:00+00:00
12,Qatar,QA,,,,25.35,51.18,262,0,0,262,2020-03-12 00:00:00+00:00
13,Qatar,QA,,,,25.35,51.18,320,0,0,320,2020-03-13 00:00:00+00:00
14,Qatar,QA,,,,25.35,51.18,337,0,4,333,2020-03-14 00:00:00+00:00
15,Qatar,QA,,,,25.35,51.18,401,0,4,397,2020-03-15 00:00:00+00:00
16,Qatar,QA,,,,25.35,51.18,439,0,4,435,2020-03-16 00:00:00+00:00
17,Qatar,QA,,,,25.35,51.18,439,0,4,435,2020-03-17 00:00:00+00:00
18,Qatar,QA,,,,25.35,51.18,452,0,4,448,2020-03-18 00:00:00+00:00
19,Qatar,QA,,,,25.35,51.18,460,0,4,456,2020-03-19 00:00:00+00:00
20,Qatar,QA,,,,25.35,51.18,470,0,10,460,2020-03-20 00:00:00+00:00
21,Qatar,QA,,,,25.35,51.18,481,0,27,454,2020-03-21 00:00:00+00:00
22,Qatar,QA,,,,25.35,51.18,494,0,33,461,2020-03-22 00:00:00+00:00
23,Qatar,QA,,,,25.35,51.18,501,0,33,468,2020-03-23 00:00:00+00:00
