,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Romania,RO,,,,45.94,24.97,6300,316,852,5132,2020-04-13 00:00:00+00:00
1,Romania,RO,,,,45.94,24.97,6633,331,914,5388,2020-04-14 00:00:00+00:00
2,Romania,RO,,,,45.94,24.97,6879,351,1051,5477,2020-04-15 00:00:00+00:00
3,Romania,RO,,,,45.94,24.97,7707,392,1357,5958,2020-04-16 00:00:00+00:00
4,Romania,RO,,,,45.94,24.97,7707,392,1357,5958,2020-04-17 00:00:00+00:00
5,Romania,RO,,,,45.94,24.97,8067,411,1508,6148,2020-04-18 00:00:00+00:00
6,Romania,RO,,,,45.94,24.97,8418,421,1730,6267,2020-04-19 00:00:00+00:00
7,Romania,RO,,,,45.94,24.97,8746,451,1892,6403,2020-04-20 00:00:00+00:00
8,Romania,RO,,,,45.94,24.97,8936,478,2017,6441,2020-04-21 00:00:00+00:00
9,Romania,RO,,,,45.94,24.97,9242,498,2153,6591,2020-04-22 00:00:00+00:00
10,Romania,RO,,,,45.94,24.97,9710,524,2406,6780,2020-04-23 00:00:00+00:00
11,Romania,RO,,,,45.94,24.97,10096,545,2478,7073,2020-04-24 00:00:00+00:00
12,Romania,RO,,,,45.94,24.97,10417,567,2817,7033,2020-04-25 00:00:00+00:00
13,Romania,RO,,,,45.94,24.97,10635,601,2890,7144,2020-04-26 00:00:00+00:00
14,Romania,RO,,,,45.94,24.97,11036,619,3054,7363,2020-04-27 00:00:00+00:00
15,Romania,RO,,,,45.94,24.97,11339,641,3141,7557,2020-04-28 00:00:00+00:00
16,Romania,RO,,,,45.94,24.97,13163,790,4869,7504,2020-05-04 00:00:00+00:00
17,Romania,RO,,,,45.94,24.97,13512,818,5269,7425,2020-05-05 00:00:00+00:00
18,Romania,RO,,,,45.94,24.97,13837,841,5454,7542,2020-05-06 00:00:00+00:00
