,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Serbia,RS,,,,44.02,21.01,3630,80,0,3550,2020-04-13 00:00:00+00:00
1,Serbia,RS,,,,44.02,21.01,4054,85,0,3969,2020-04-14 00:00:00+00:00
2,Serbia,RS,,,,44.02,21.01,4465,94,0,4371,2020-04-15 00:00:00+00:00
3,Serbia,RS,,,,44.02,21.01,4873,99,0,4774,2020-04-16 00:00:00+00:00
4,Serbia,RS,,,,44.02,21.01,5318,103,0,5215,2020-04-17 00:00:00+00:00
5,Serbia,RS,,,,44.02,21.01,5690,110,534,5046,2020-04-18 00:00:00+00:00
6,Serbia,RS,,,,44.02,21.01,5994,117,637,5240,2020-04-19 00:00:00+00:00
7,Serbia,RS,,,,44.02,21.01,6318,122,753,5443,2020-04-20 00:00:00+00:00
8,Serbia,RS,,,,44.02,21.01,6630,125,870,5635,2020-04-21 00:00:00+00:00
9,Serbia,RS,,,,44.02,21.01,6630,125,870,5635,2020-04-22 00:00:00+00:00
10,Serbia,RS,,,,44.02,21.01,6630,125,870,5635,2020-04-23 00:00:00+00:00
11,Serbia,RS,,,,44.02,21.01,6630,125,870,5635,2020-04-24 00:00:00+00:00
12,Serbia,RS,,,,44.02,21.01,6630,125,870,5635,2020-04-25 00:00:00+00:00
13,Serbia,RS,,,,44.02,21.01,6630,125,870,5635,2020-04-26 00:00:00+00:00
14,Serbia,RS,,,,44.02,21.01,6630,125,870,5635,2020-04-27 00:00:00+00:00
15,Serbia,RS,,,,44.02,21.01,6630,125,870,5635,2020-04-28 00:00:00+00:00
16,Serbia,RS,,,,44.02,21.01,9464,193,1551,7720,2020-05-04 00:00:00+00:00
17,Serbia,RS,,,,44.02,21.01,9557,197,1574,7786,2020-05-05 00:00:00+00:00
18,Serbia,RS,,,,44.02,21.01,9677,200,1723,7754,2020-05-06 00:00:00+00:00
