,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,South Africa,ZA,,,,-30.56,22.94,1,0,0,1,2020-03-05 00:00:00+00:00
1,South Africa,ZA,,,,-30.56,22.94,1,0,0,1,2020-03-06 00:00:00+00:00
2,South Africa,ZA,,,,-30.56,22.94,1,0,0,1,2020-03-07 00:00:00+00:00
3,South Africa,ZA,,,,-30.56,22.94,3,0,0,3,2020-03-08 00:00:00+00:00
4,South Africa,ZA,,,,-30.56,22.94,3,0,0,3,2020-03-09 00:00:00+00:00
5,South Africa,ZA,,,,-30.56,22.94,7,0,0,7,2020-03-10 00:00:00+00:00
6,South Africa,ZA,,,,-30.56,22.94,13,0,0,13,2020-03-11 00:00:00+00:00
7,South Africa,ZA,,,,-30.56,22.94,17,0,0,17,2020-03-12 00:00:00+00:00
8,South Africa,ZA,,,,-30.56,22.94,24,0,0,24,2020-03-13 00:00:00+00:00
9,South Africa,ZA,,,,-30.56,22.94,38,0,0,38,2020-03-14 00:00:00+00:00
10,South Africa,ZA,,,,-30.56,22.94,51,0,0,51,2020-03-15 00:00:00+00:00
11,South Africa,ZA,,,,-30.56,22.94,62,0,0,62,2020-03-16 00:00:00+00:00
12,South Africa,ZA,,,,-30.56,22.94,62,0,0,62,2020-03-17 00:00:00+00:00
13,South Africa,ZA,,,,-30.56,22.94,116,0,0,116,2020-03-18 00:00:00+00:00
14,South Africa,ZA,,,,-30.56,22.94,150,0,0,150,2020-03-19 00:00:00+00:00
15,South Africa,ZA,,,,-30.56,22.94,202,0,0,202,2020-03-20 00:00:00+00:00
16,South Africa,ZA,,,,-30.56,22.94,240,0,0,240,2020-03-21 00:00:00+00:00
17,South Africa,ZA,,,,-30.56,22.94,274,0,0,274,2020-03-22 00:00:00+00:00
18,South Africa,ZA,,,,-30.56,22.94,402,0,0,402,2020-03-23 00:00:00+00:00
19,South Africa,ZA,,,,-30.56,22.94,554,0,4,550,2020-03-24 00:00:00+00:00
20,South Africa,ZA,,,,-30.56,22.94,709,0,12,697,2020-03-25 00:00:00+00:00
21,South Africa,ZA,,,,-30.56,22.94,927,0,12,915,2020-03-26 00:00:00+00:00
22,South Africa,ZA,,,,-30.56,22.94,1170,1,31,1138,2020-03-27 00:00:00+00:00
23,South Africa,ZA,,,,-30.56,22.94,1187,1,31,1155,2020-03-28 00:00:00+00:00
24,South Africa,ZA,,,,-30.56,22.94,1280,2,31,1247,2020-03-29 00:00:00+00:00
25,South Africa,ZA,,,,-30.56,22.94,1326,3,31,1292,2020-03-30 00:00:00+00:00
26,South Africa,ZA,,,,-30.56,22.94,1353,5,31,1317,2020-03-31 00:00:00+00:00
27,South Africa,ZA,,,,-30.56,22.94,1380,5,50,1325,2020-04-01 00:00:00+00:00
28,South Africa,ZA,,,,-30.56,22.94,1462,5,50,1407,2020-04-02 00:00:00+00:00
29,South Africa,ZA,,,,-30.56,22.94,1505,9,95,1401,2020-04-03 00:00:00+00:00
30,South Africa,ZA,,,,-30.56,22.94,1585,9,95,1481,2020-04-04 00:00:00+00:00
31,South Africa,ZA,,,,-30.56,22.94,1655,11,95,1549,2020-04-05 00:00:00+00:00
32,South Africa,ZA,,,,-30.56,22.94,1686,12,95,1579,2020-04-06 00:00:00+00:00
33,South Africa,ZA,,,,-30.56,22.94,1749,13,95,1641,2020-04-07 00:00:00+00:00
34,South Africa,ZA,,,,-30.56,22.94,1845,18,95,1732,2020-04-08 00:00:00+00:00
35,South Africa,ZA,,,,-30.56,22.94,1934,18,95,1821,2020-04-09 00:00:00+00:00
36,South Africa,ZA,,,,-30.56,22.94,2003,24,410,1569,2020-04-10 00:00:00+00:00
37,South Africa,ZA,,,,-30.56,22.94,2028,25,410,1593,2020-04-11 00:00:00+00:00
38,South Africa,ZA,,,,-30.56,22.94,2173,25,410,1738,2020-04-12 00:00:00+00:00
39,South Africa,ZA,,,,-30.56,22.94,2272,27,410,1835,2020-04-13 00:00:00+00:00
40,South Africa,ZA,,,,-30.56,22.94,2415,27,410,1978,2020-04-14 00:00:00+00:00
41,South Africa,ZA,,,,-30.56,22.94,2506,34,410,2062,2020-04-15 00:00:00+00:00
42,South Africa,ZA,,,,-30.56,22.94,2605,48,903,1654,2020-04-16 00:00:00+00:00
