,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Switzerland,CH,,,,46.82,8.23,1,0,0,1,2020-02-25 00:00:00+00:00
1,Switzerland,CH,,,,46.82,8.23,1,0,0,1,2020-02-26 00:00:00+00:00
2,Switzerland,CH,,,,46.82,8.23,8,0,0,8,2020-02-27 00:00:00+00:00
3,Switzerland,CH,,,,46.82,8.23,8,0,0,8,2020-02-28 00:00:00+00:00
4,Switzerland,CH,,,,46.82,8.23,18,0,0,18,2020-02-29 00:00:00+00:00
5,Switzerland,CH,,,,46.82,8.23,27,0,0,27,2020-03-01 00:00:00+00:00
6,Switzerland,CH,,,,46.82,8.23,42,0,0,42,2020-03-02 00:00:00+00:00
7,Switzerland,CH,,,,46.82,8.23,56,0,2,54,2020-03-03 00:00:00+00:00
8,Switzerland,CH,,,,46.82,8.23,90,0,3,87,2020-03-04 00:00:00+00:00
9,Switzerland,CH,,,,46.82,8.23,114,1,3,110,2020-03-05 00:00:00+00:00
10,Switzerland,CH,,,,46.82,8.23,214,1,3,210,2020-03-06 00:00:00+00:00
11,Switzerland,CH,,,,46.82,8.23,268,1,3,264,2020-03-07 00:00:00+00:00
12,Switzerland,CH,,,,46.82,8.23,337,2,3,332,2020-03-08 00:00:00+00:00
13,Switzerland,CH,,,,46.82,8.23,374,2,3,369,2020-03-09 00:00:00+00:00
14,Switzerland,CH,,,,46.82,8.23,491,3,3,485,2020-03-10 00:00:00+00:00
15,Switzerland,CH,,,,46.82,8.23,652,4,4,644,2020-03-11 00:00:00+00:00
16,Switzerland,CH,,,,46.82,8.23,652,4,4,644,2020-03-12 00:00:00+00:00
17,Switzerland,CH,,,,46.82,8.23,1139,11,4,1124,2020-03-13 00:00:00+00:00
18,Switzerland,CH,,,,46.82,8.23,1359,13,4,1342,2020-03-14 00:00:00+00:00
19,Switzerland,CH,,,,46.82,8.23,2200,14,4,2182,2020-03-15 00:00:00+00:00
20,Switzerland,CH,,,,46.82,8.23,2200,14,4,2182,2020-03-16 00:00:00+00:00
21,Switzerland,CH,,,,46.82,8.23,2700,27,4,2669,2020-03-17 00:00:00+00:00
22,Switzerland,CH,,,,46.82,8.23,3028,28,15,2985,2020-03-18 00:00:00+00:00
23,Switzerland,CH,,,,46.82,8.23,4075,41,15,4019,2020-03-19 00:00:00+00:00
24,Switzerland,CH,,,,46.82,8.23,5294,54,15,5225,2020-03-20 00:00:00+00:00
25,Switzerland,CH,,,,46.82,8.23,6575,75,15,6485,2020-03-21 00:00:00+00:00
26,Switzerland,CH,,,,46.82,8.23,7474,98,131,7245,2020-03-22 00:00:00+00:00
27,Switzerland,CH,,,,46.82,8.23,8795,120,131,8544,2020-03-23 00:00:00+00:00
28,Switzerland,CH,,,,46.82,8.23,9877,122,131,9624,2020-03-24 00:00:00+00:00
29,Switzerland,CH,,,,46.82,8.23,10897,153,131,10613,2020-03-25 00:00:00+00:00
30,Switzerland,CH,,,,46.82,8.23,11811,191,131,11489,2020-03-26 00:00:00+00:00
31,Switzerland,CH,,,,46.82,8.23,12928,231,1530,11167,2020-03-27 00:00:00+00:00
32,Switzerland,CH,,,,46.82,8.23,14076,264,1530,12282,2020-03-28 00:00:00+00:00
33,Switzerland,CH,,,,46.82,8.23,14829,300,1595,12934,2020-03-29 00:00:00+00:00
