,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,United Kingdom,GB,Channel Islands,,,49.37,-2.36,431,9,48,374,2020-04-13 00:00:00+00:00
1,United Kingdom,GB,Gibraltar,,,36.14,-5.35,129,0,84,45,2020-04-13 00:00:00+00:00
2,United Kingdom,GB,Bermuda,,,32.31,-64.75,57,4,29,24,2020-04-13 00:00:00+00:00
3,United Kingdom,GB,Cayman Islands,,,19.31,-81.25,53,1,6,46,2020-04-13 00:00:00+00:00
4,United Kingdom,GB,,,,55.38,-3.44,84279,10612,0,73667,2020-04-13 00:00:00+00:00
5,United Kingdom,GB,Montserrat,,,16.74,-62.19,11,0,1,10,2020-04-13 00:00:00+00:00
6,United Kingdom,GB,Falkland Islands (Malvinas),,,-51.8,-59.52,5,0,1,4,2020-04-13 00:00:00+00:00
7,United Kingdom,GB,Turks and Caicos Islands,,,21.69,-71.8,9,1,0,8,2020-04-13 00:00:00+00:00
8,United Kingdom,GB,Anguilla,,,18.22,-63.07,3,0,0,3,2020-04-13 00:00:00+00:00
9,United Kingdom,GB,British Virgin Islands,,,18.42,-64.64,3,0,2,1,2020-04-13 00:00:00+00:00
10,United Kingdom,GB,Isle of Man,,,54.24,-4.55,228,2,112,114,2020-04-13 00:00:00+00:00
11,United Kingdom,GB,Bermuda,,,32.31,-64.75,57,5,30,22,2020-04-14 00:00:00+00:00
12,United Kingdom,GB,,,,55.38,-3.44,88621,11329,0,77292,2020-04-14 00:00:00+00:00
13,United Kingdom,GB,Channel Islands,,,49.37,-2.36,436,9,48,379,2020-04-14 00:00:00+00:00
14,United Kingdom,GB,British Virgin Islands,,,18.42,-64.64,3,0,2,1,2020-04-14 00:00:00+00:00
15,United Kingdom,GB,Anguilla,,,18.22,-63.07,3,0,1,2,2020-04-14 00:00:00+00:00
16,United Kingdom,GB,Falkland Islands (Malvinas),,,-51.8,-59.52,5,0,1,4,2020-04-14 00:00:00+00:00
17,United Kingdom,GB,Gibraltar,,,36.14,-5.35,129,0,93,36,2020-04-14 00:00:00+00:00
18,United Kingdom,GB,Montserrat,,,16.74,-62.19,11,0,1,10,2020-04-14 00:00:00+00:00
19,United Kingdom,GB,Isle of Man,,,54.24,-4.55,242,2,131,109,2020-04-14 00:00:00+00:00
20,United Kingdom,GB,Turks and Caicos Islands,,,21.69,-71.8,10,1,0,9,2020-04-14 00:00:00+00:00
21,United Kingdom,GB,Cayman Islands,,,19.31,-81.25,54,1,6,47,2020-04-14 00:00:00+00:00
22,United Kingdom,GB,Falkland Islands (Malvinas),,,-51.8,-59.52,11,0,1,10,2020-04-15 00:00:00+00:00
23,United Kingdom,GB,,,,55.38,-3.44,93873,12107,0,81766,2020-04-15 00:00:00+00:00
24,United Kingdom,GB,Isle of Man,,,54.24,-4.55,254,2,141,111,2020-04-15 00:00:00+00:00
25,United Kingdom,GB,British Virgin Islands,,,18.42,-64.64,3,0,2,1,2020-04-15 00:00:00+00:00
26,United Kingdom,GB,Cayman Islands,,,19.31,-81.25,54,1,6,47,2020-04-15 00:00:00+00:00
27,United Kingdom,GB,Channel Islands,,,49.37,-2.36,440,13,48,379,2020-04-15 00:00:00+00:00
28,United Kingdom,GB,Turks and Caicos Islands,,,21.69,-71.8,10,1,0,9,2020-04-15 00:00:00+00:00
29,United Kingdom,GB,Anguilla,,,18.22,-63.07,3,0,1,2,2020-04-15 00:00:00+00:00
30,United Kingdom,GB,Montserrat,,,16.74,-62.19,11,0,1,10,2020-04-15 00:00:00+00:00
31,United Kingdom,GB,Bermuda,,,32.31,-64.75,57,5,30,22,2020-04-15 00:00:00+00:00
32,United Kingdom,GB,Gibraltar,,,36.14,-5.35,129,0,93,36,2020-04-15 00:00:00+00:00
33,United Kingdom,GB,Channel Islands,,,49.37,-2.36,447,15,69,363,2020-04-16 00:00:00+00:00
34,United Kingdom,GB,Bermuda,,,32.31,-64.75,81,5,33,43,2020-04-16 00:00:00+00:00
35,United Kingdom,GB,British Virgin Islands,,,18.42,-64.64,3,0,2,1,2020-04-16 00:00:00+00:00
36,United Kingdom,GB,,,,55.38,-3.44,98476,12868,0,85608,2020-04-16 00:00:00+00:00
37,United Kingdom,GB,Cayman Islands,,,19.31,-81.25,60,1,6,53,2020-04-16 00:00:00+00:00
38,United Kingdom,GB,Isle of Man,,,54.24,-4.55,283,4,153,126,2020-04-16 00:00:00+00:00
39,United Kingdom,GB,Falkland Islands (Malvinas),,,-51.8,-59.52,11,0,1,10,2020-04-16 00:00:00+00:00
40,United Kingdom,GB,Gibraltar,,,36.14,-5.35,131,0,104,27,2020-04-16 00:00:00+00:00
41,United Kingdom,GB,Turks and Caicos Islands,,,21.69,-71.8,10,1,0,9,2020-04-16 00:00:00+00:00
42,United Kingdom,GB,Montserrat,,,16.74,-62.19,11,0,1,10,2020-04-16 00:00:00+00:00
43,United Kingdom,GB,Anguilla,,,18.22,-63.07,3,0,1,2,2020-04-16 00:00:00+00:00
44,United Kingdom,GB,Isle of Man,,,54.24,-4.55,284,4,154,126,2020-04-17 00:00:00+00:00
45,United Kingdom,GB,Montserrat,,,16.74,-62.19,11,0,1,10,2020-04-17 00:00:00+00:00
46,United Kingdom,GB,Cayman Islands,,,19.31,-81.25,60,1,6,53,2020-04-17 00:00:00+00:00
47,United Kingdom,GB,,,,55.38,-3.44,103093,13729,0,89364,2020-04-17 00:00:00+00:00
48,United Kingdom,GB,British Virgin Islands,,,18.42,-64.64,3,0,2,1,2020-04-17 00:00:00+00:00
49,United Kingdom,GB,Channel Islands,,,49.37,-2.36,457,19,73,365,2020-04-17 00:00:00+00:00
50,United Kingdom,GB,Anguilla,,,18.22,-63.07,3,0,1,2,2020-04-17 00:00:00+00:00
51,United Kingdom,GB,Bermuda,,,32.31,-64.75,81,5,33,43,2020-04-17 00:00:00+00:00
52,United Kingdom,GB,Falkland Islands (Malvinas),,,-51.8,-59.52,11,0,1,10,2020-04-17 00:00:00+00:00
53,United Kingdom,GB,Gibraltar,,,36.14,-5.35,131,0,104,27,2020-04-17 00:00:00+00:00
54,United Kingdom,GB,Turks and Caicos Islands,,,21.69,-71.8,11,1,0,10,2020-04-17 00:00:00+00:00
55,United Kingdom,GB,Turks and Caicos Islands,,,21.69,-71.8,11,1,0,10,2020-04-18 00:00:00+00:00
56,United Kingdom,GB,,,,55.38,-3.44,108692,14576,0,94116,2020-04-18 00:00:00+00:00
57,United Kingdom,GB,Gibraltar,,,36.14,-5.35,132,0,105,27,2020-04-18 00:00:00+00:00
58,United Kingdom,GB,British Virgin Islands,,,18.42,-64.64,4,0,2,2,2020-04-18 00:00:00+00:00
59,United Kingdom,GB,Bermuda,,,32.31,-64.75,83,5,35,43,2020-04-18 00:00:00+00:00
60,United Kingdom,GB,Channel Islands,,,49.37,-2.36,470,20,73,377,2020-04-18 00:00:00+00:00
61,United Kingdom,GB,Montserrat,,,16.74,-62.19,11,0,1,10,2020-04-18 00:00:00+00:00
62,United Kingdom,GB,Cayman Islands,,,19.31,-81.25,61,1,7,53,2020-04-18 00:00:00+00:00
63,United Kingdom,GB,Falkland Islands (Malvinas),,,-51.8,-59.52,11,0,1,10,2020-04-18 00:00:00+00:00
64,United Kingdom,GB,Anguilla,,,18.22,-63.07,3,0,1,2,2020-04-18 00:00:00+00:00
65,United Kingdom,GB,Isle of Man,,,54.24,-4.55,291,4,169,118,2020-04-18 00:00:00+00:00
66,United Kingdom,GB,Isle of Man,,,54.24,-4.55,297,6,180,111,2020-04-19 00:00:00+00:00
67,United Kingdom,GB,,,,55.38,-3.44,114217,15464,0,98753,2020-04-19 00:00:00+00:00
68,United Kingdom,GB,Channel Islands,,,49.37,-2.36,484,21,73,390,2020-04-19 00:00:00+00:00
69,United Kingdom,GB,Anguilla,,,18.22,-63.07,3,0,1,2,2020-04-19 00:00:00+00:00
70,United Kingdom,GB,Cayman Islands,,,19.31,-81.25,61,1,7,53,2020-04-19 00:00:00+00:00
71,United Kingdom,GB,Gibraltar,,,36.14,-5.35,132,0,111,21,2020-04-19 00:00:00+00:00
72,United Kingdom,GB,Bermuda,,,32.31,-64.75,83,5,35,43,2020-04-19 00:00:00+00:00
73,United Kingdom,GB,Falkland Islands (Malvinas),,,-51.8,-59.52,11,0,3,8,2020-04-19 00:00:00+00:00
74,United Kingdom,GB,British Virgin Islands,,,18.42,-64.64,4,0,2,2,2020-04-19 00:00:00+00:00
75,United Kingdom,GB,Montserrat,,,16.74,-62.19,11,0,2,9,2020-04-19 00:00:00+00:00
76,United Kingdom,GB,Turks and Caicos Islands,,,21.69,-71.8,11,1,0,10,2020-04-19 00:00:00+00:00
77,United Kingdom,GB,British Virgin Islands,,,18.42,-64.64,4,1,2,1,2020-04-20 00:00:00+00:00
78,United Kingdom,GB,Isle of Man,,,54.24,-4.55,298,6,193,99,2020-04-20 00:00:00+00:00
79,United Kingdom,GB,Gibraltar,,,36.14,-5.35,132,0,120,12,2020-04-20 00:00:00+00:00
80,United Kingdom,GB,Falkland Islands (Malvinas),,,-51.8,-59.52,11,0,3,8,2020-04-20 00:00:00+00:00
81,United Kingdom,GB,Bermuda,,,32.31,-64.75,86,5,35,46,2020-04-20 00:00:00+00:00
82,United Kingdom,GB,Channel Islands,,,49.37,-2.36,488,21,73,394,2020-04-20 00:00:00+00:00
83,United Kingdom,GB,,,,55.38,-3.44,120067,16060,0,104007,2020-04-20 00:00:00+00:00
84,United Kingdom,GB,Montserrat,,,16.74,-62.19,11,0,2,9,2020-04-20 00:00:00+00:00
85,United Kingdom,GB,Anguilla,,,18.22,-63.07,3,0,1,2,2020-04-20 00:00:00+00:00
86,United Kingdom,GB,Turks and Caicos Islands,,,21.69,-71.8,11,1,0,10,2020-04-20 00:00:00+00:00
