,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,United Arab Emirates,AE,,,,23.42,53.85,4,0,0,4,2020-01-29 00:00:00+00:00
1,United Arab Emirates,AE,,,,23.42,53.85,4,0,0,4,2020-01-30 00:00:00+00:00
2,United Arab Emirates,AE,,,,23.42,53.85,4,0,0,4,2020-01-31 00:00:00+00:00
3,United Arab Emirates,AE,,,,23.42,53.85,4,0,0,4,2020-02-01 00:00:00+00:00
4,United Arab Emirates,AE,,,,23.42,53.85,5,0,0,5,2020-02-02 00:00:00+00:00
5,United Arab Emirates,AE,,,,23.42,53.85,5,0,0,5,2020-02-03 00:00:00+00:00
6,United Arab Emirates,AE,,,,23.42,53.85,5,0,0,5,2020-02-04 00:00:00+00:00
7,United Arab Emirates,AE,,,,23.42,53.85,5,0,0,5,2020-02-05 00:00:00+00:00
8,United Arab Emirates,AE,,,,23.42,53.85,5,0,0,5,2020-02-06 00:00:00+00:00
9,United Arab Emirates,AE,,,,23.42,53.85,5,0,0,5,2020-02-07 00:00:00+00:00
10,United Arab Emirates,AE,,,,23.42,53.85,7,0,0,7,2020-02-08 00:00:00+00:00
11,United Arab Emirates,AE,,,,23.42,53.85,7,0,0,7,2020-02-09 00:00:00+00:00
12,United Arab Emirates,AE,,,,23.42,53.85,8,0,0,8,2020-02-10 00:00:00+00:00
13,United Arab Emirates,AE,,,,23.42,53.85,8,0,0,8,2020-02-11 00:00:00+00:00
14,United Arab Emirates,AE,,,,23.42,53.85,8,0,1,7,2020-02-12 00:00:00+00:00
15,United Arab Emirates,AE,,,,23.42,53.85,8,0,1,7,2020-02-13 00:00:00+00:00
16,United Arab Emirates,AE,,,,23.42,53.85,8,0,1,7,2020-02-14 00:00:00+00:00
17,United Arab Emirates,AE,,,,23.42,53.85,8,0,3,5,2020-02-15 00:00:00+00:00
18,United Arab Emirates,AE,,,,23.42,53.85,9,0,4,5,2020-02-16 00:00:00+00:00
19,United Arab Emirates,AE,,,,23.42,53.85,9,0,4,5,2020-02-17 00:00:00+00:00
20,United Arab Emirates,AE,,,,23.42,53.85,9,0,4,5,2020-02-18 00:00:00+00:00
21,United Arab Emirates,AE,,,,23.42,53.85,9,0,4,5,2020-02-19 00:00:00+00:00
22,United Arab Emirates,AE,,,,23.42,53.85,9,0,4,5,2020-02-20 00:00:00+00:00
23,United Arab Emirates,AE,,,,23.42,53.85,9,0,4,5,2020-02-21 00:00:00+00:00
24,United Arab Emirates,AE,,,,23.42,53.85,13,0,4,9,2020-02-22 00:00:00+00:00
25,United Arab Emirates,AE,,,,23.42,53.85,13,0,4,9,2020-02-23 00:00:00+00:00
26,United Arab Emirates,AE,,,,23.42,53.85,13,0,4,9,2020-02-24 00:00:00+00:00
27,United Arab Emirates,AE,,,,23.42,53.85,13,0,4,9,2020-02-25 00:00:00+00:00
28,United Arab Emirates,AE,,,,23.42,53.85,13,0,4,9,2020-02-26 00:00:00+00:00
29,United Arab Emirates,AE,,,,23.42,53.85,13,0,4,9,2020-02-27 00:00:00+00:00
30,United Arab Emirates,AE,,,,23.42,53.85,19,0,5,14,2020-02-28 00:00:00+00:00
31,United Arab Emirates,AE,,,,23.42,53.85,21,0,5,16,2020-02-29 00:00:00+00:00
32,United Arab Emirates,AE,,,,23.42,53.85,21,0,5,16,2020-03-01 00:00:00+00:00
33,United Arab Emirates,AE,,,,23.42,53.85,21,0,5,16,2020-03-02 00:00:00+00:00
34,United Arab Emirates,AE,,,,23.42,53.85,27,0,5,22,2020-03-03 00:00:00+00:00
35,United Arab Emirates,AE,,,,23.42,53.85,27,0,5,22,2020-03-04 00:00:00+00:00
36,United Arab Emirates,AE,,,,23.42,53.85,29,0,5,24,2020-03-05 00:00:00+00:00
37,United Arab Emirates,AE,,,,23.42,53.85,29,0,5,24,2020-03-06 00:00:00+00:00
38,United Arab Emirates,AE,,,,23.42,53.85,45,0,7,38,2020-03-07 00:00:00+00:00
39,United Arab Emirates,AE,,,,23.42,53.85,45,0,7,38,2020-03-08 00:00:00+00:00
40,United Arab Emirates,AE,,,,23.42,53.85,45,0,7,38,2020-03-09 00:00:00+00:00
41,United Arab Emirates,AE,,,,23.42,53.85,74,0,12,62,2020-03-10 00:00:00+00:00
42,United Arab Emirates,AE,,,,23.42,53.85,74,0,17,57,2020-03-11 00:00:00+00:00
43,United Arab Emirates,AE,,,,23.42,53.85,85,0,17,68,2020-03-12 00:00:00+00:00
44,United Arab Emirates,AE,,,,23.42,53.85,85,0,17,68,2020-03-13 00:00:00+00:00
