,Date,CVX,XOM,PTR,TKA,ARRD,TOM,GM,HYU,AAPL,AMZN,GOOGL
0,2020-07-24 00:00:00+00:00,91.48,43.88,37.04,,,,26.6,,363.95,2930.0,1499.19
1,2020-07-23 00:00:00+00:00,90.5,43.4,36.29,,,,26.44,,387.9935,3098.2713,1565.93
2,2020-07-22 00:00:00+00:00,89.95,44.15,35.88,,,,25.87,,386.77,3125.0,1555.71
3,2020-07-21 00:00:00+00:00,86.47,43.15,34.81,,,,26.17,,396.69,3232.49,1585.03
4,2020-07-20 00:00:00+00:00,86.83,43.21,34.4,,,,26.21,,385.67,3000.2,1515.0
5,2020-07-17 00:00:00+00:00,88.41,44.33,34.27,,,,26.99,,387.95,3009.0,1516.91
6,2020-07-16 00:00:00+00:00,88.44,44.31,34.2,,,,26.35,,386.25,2971.06,1501.5
7,2020-07-15 00:00:00+00:00,90.18,45.03,35.0,,,,26.32,,395.96,3080.23,1523.23
8,2020-07-14 00:00:00+00:00,85.39,42.53,34.99,,,,24.8,,379.36,3089.0,1492.79
9,2020-07-13 00:00:00+00:00,86.04,42.98,35.97,,,,24.65,,389.06,3251.06,1549.94
10,2020-07-10 00:00:00+00:00,82.5,41.12,35.93,,,,23.55,,381.34,3191.76,1513.25
11,2020-07-09 00:00:00+00:00,85.97,42.9,37.38,,,,24.76,,385.05,3115.99,1509.93
12,2020-07-08 00:00:00+00:00,86.39,43.15,36.35,,,,25.19,,376.72,3022.61,1500.8
13,2020-07-07 00:00:00+00:00,87.82,43.9,36.37,,,,25.59,,375.41,3058.55,1496.13
14,2020-07-06 00:00:00+00:00,89.5,44.67,36.94,,,,25.96,,370.0,2934.97,1488.15
15,2020-07-02 00:00:00+00:00,89.37,44.62,34.11,,,,25.62,,367.85,2912.01,1451.84
16,2020-07-01 00:00:00+00:00,89.28,44.49,33.14,,,,25.3,,365.12,2757.99,1419.17
17,2020-06-30 00:00:00+00:00,86.6,43.43,33.13,,,,25.09,,360.08,2685.07,1396.88
18,2020-06-29 00:00:00+00:00,86.91,43.81,33.35,,,,24.71,,353.25,2690.01,1360.34
19,2020-06-26 00:00:00+00:00,88.78,44.88,33.91,,,,25.0,,364.41,2775.06,1432.63
20,2020-06-25 00:00:00+00:00,87.31,44.05,33.65,,,,25.0,,360.7,2739.55,1431.22
21,2020-06-24 00:00:00+00:00,89.99,45.91,34.35,,,,25.85,,365.0,2780.0,1463.28
22,2020-06-23 00:00:00+00:00,92.5,46.9,35.05,,,,26.75,,364.0,2726.02,1452.0
23,2020-06-22 00:00:00+00:00,90.32,45.69,34.82,,,,26.6,,351.34,2684.5,1425.01
24,2020-06-19 00:00:00+00:00,94.41,48.22,35.5,,,,27.74,,354.635,2678.08,1440.0
25,2020-06-18 00:00:00+00:00,91.0,46.11,35.91,,,,26.9,,351.41,2647.01,1449.85
26,2020-06-17 00:00:00+00:00,93.83,48.0,36.0,,,,27.78,,355.15,2647.5,1452.94
27,2020-06-16 00:00:00+00:00,94.99,49.57,35.59,,,,29.11,,351.46,2620.0,1449.0
28,2020-06-15 00:00:00+00:00,89.09,45.35,33.93,,,,26.61,,333.25,2526.6,1389.49
29,2020-06-12 00:00:00+00:00,93.62,48.04,34.9,,,,28.72,,344.72,2601.21,1425.86
30,2020-06-11 00:00:00+00:00,92.3,47.53,35.0,,,,26.62,,349.31,2603.5,1441.03
31,2020-06-10 00:00:00+00:00,101.0,53.5,36.6,,,,29.8,,347.9,2645.0,1461.51
32,2020-06-09 00:00:00+00:00,100.7,52.88,36.14,,,,29.4,,332.14,2529.44,1445.24
33,2020-06-08 00:00:00+00:00,102.63,54.72,37.1,,,,31.22,,330.25,2500.2,1426.28
34,2020-06-05 00:00:00+00:00,99.08,51.65,36.56,,,,31.0,,323.35,2444.51,1415.64
35,2020-06-04 00:00:00+00:00,96.78,48.88,35.35,,,,28.86,,324.39,2477.43,1436.78
36,2020-06-03 00:00:00+00:00,95.97,48.0,35.94,,,,28.42,,324.66,2468.01,1442.7
37,2020-06-02 00:00:00+00:00,93.78,46.86,34.81,,,,27.32,,320.745,2467.0,1435.0
38,2020-06-01 00:00:00+00:00,90.94,45.32,34.71,,,,25.99,,317.75,2448.0,1425.7
39,2020-05-29 00:00:00+00:00,90.19,44.82,34.38,,,,26.35,,319.25,2415.94,1420.43
40,2020-05-28 00:00:00+00:00,93.61,46.43,33.98,,,,27.86,,316.77,2384.33,1400.0
41,2020-05-27 00:00:00+00:00,94.68,46.66,34.44,,,,28.53,,316.14,2404.99,1420.0
42,2020-05-26 00:00:00+00:00,92.49,45.74,34.4,,,,27.82,,323.5,2458.0,1441.96
43,2020-05-22 00:00:00+00:00,91.45,44.05,33.71,,,,25.99,,315.77,2455.01,1403.9
44,2020-05-21 00:00:00+00:00,92.77,45.44,35.1,,,,25.29,,318.66,2500.0,1410.99
45,2020-05-20 00:00:00+00:00,91.0,44.62,35.5,,,,25.31,,316.68,2477.87,1389.16
46,2020-05-19 00:00:00+00:00,92.53,45.55,35.78,,,,24.75,,315.03,2429.83,1385.48
47,2020-05-18 00:00:00+00:00,92.4,44.3999,34.54,,,,24.0,,313.17,2402.48,1361.58
48,2020-05-15 00:00:00+00:00,90.65,42.38,32.84,,,,21.97,,300.35,2368.52,1348.26
49,2020-05-14 00:00:00+00:00,87.29,41.07,32.94,,,,20.66,,304.51,2361.01,1333.52
50,2020-05-13 00:00:00+00:00,89.9,43.74,34.23,,,,22.44,,312.15,2366.8,1376.16
51,2020-05-12 00:00:00+00:00,93.13,45.42,35.06,,,,22.99,,317.83,2411.85,1408.22
52,2020-05-11 00:00:00+00:00,94.21,46.11,35.15,,,,23.25,,308.1,2374.7,1376.79
53,2020-05-08 00:00:00+00:00,95.0,45.31,34.63,,,,23.07,,305.64,2372.14,1381.82
54,2020-05-07 00:00:00+00:00,92.98,44.96,34.35,,,,22.18,,303.22,2374.78,1361.31
55,2020-05-06 00:00:00+00:00,92.79,44.93,34.42,,,,23.05,,300.46,2329.44,1358.0
