date,Youtube,Prime Video,HBO,HBO Go,HBO Max
2015-06-28,99,0,1,0,0
2015-07-05,97,0,1,0,0
2015-07-12,99,0,1,0,0
2015-07-19,100,0,1,0,0
2015-07-26,97,0,1,0,0
2015-08-02,99,0,1,0,0
2015-08-09,99,0,1,0,0
2015-08-16,98,0,1,0,0
2015-08-23,98,0,1,0,0
2015-08-30,94,0,0,0,0
2015-09-06,93,0,0,0,0
2015-09-13,95,0,0,0,0
2015-09-20,97,0,1,0,0
2015-09-27,96,0,0,0,0
2015-10-04,94,0,0,0,0
2015-10-11,95,0,0,0,0
2015-10-18,98,0,0,0,0
2015-10-25,97,0,0,0,0
2015-11-01,95,0,0,0,0
2015-11-08,97,0,0,0,0
2015-11-15,96,0,0,0,0
2015-11-22,96,0,0,0,0
2015-11-29,97,0,0,0,0
2015-12-06,96,0,0,0,0
2015-12-13,95,0,0,0,0
2015-12-20,100,0,0,0,0
2015-12-27,94,0,1,0,0
2016-01-03,78,0,0,0,0
2016-01-10,78,0,0,0,0
2016-01-17,79,0,0,0,0
2016-01-24,79,0,0,0,0
2016-01-31,81,0,0,0,0
2016-02-07,79,0,0,0,0
2016-02-14,79,0,1,0,0
2016-02-21,80,0,0,0,0
2016-02-28,78,0,0,0,0
2016-03-06,79,0,0,0,0
2016-03-13,78,0,0,0,0
2016-03-20,82,0,0,0,0
2016-03-27,78,0,0,0,0
2016-04-03,77,0,0,0,0
2016-04-10,78,0,1,0,0
2016-04-17,78,0,1,0,0
2016-04-24,77,0,2,0,0
2016-05-01,80,0,1,0,0
2016-05-08,78,0,1,0,0
2016-05-15,78,0,1,0,0
2016-05-22,81,0,1,0,0
2016-05-29,80,0,1,0,0
2016-06-05,77,0,1,0,0
2016-06-12,76,0,1,0,0
2016-06-19,79,0,1,0,0
2016-06-26,78,0,1,0,0
2016-07-03,77,0,1,0,0
2016-07-10,76,0,1,0,0
2016-07-17,76,0,1,0,0
2016-07-24,79,0,1,0,0
2016-07-31,79,0,1,0,0
2016-08-07,79,0,0,0,0
2016-08-14,77,0,0,0,0
2016-08-21,76,0,0,0,0
2016-08-28,78,0,1,0,0
2016-09-04,74,0,0,0,0
2016-09-11,73,0,0,0,0
2016-09-18,75,0,0,0,0
2016-09-25,77,0,0,0,0
2016-10-02,77,0,1,0,0
2016-10-09,79,0,1,0,0
2016-10-16,77,0,1,0,0
2016-10-23,78,0,1,0,0
2016-10-30,78,0,1,0,0
2016-11-06,76,0,0,0,0
2016-11-13,77,0,1,0,0
2016-11-20,76,0,1,0,0
2016-11-27,75,0,1,0,0
2016-12-04,74,0,1,0,0
2016-12-11,75,0,1,0,0
2016-12-18,80,0,1,0,0
2016-12-25,80,0,1,0,0
