date,Twitch,Pornhub,Instagram,Facebook,Twitter
2015-06-28,1,4,5,100,5
2015-07-05,1,4,5,97,5
2015-07-12,1,4,5,97,5
2015-07-19,1,4,5,98,6
2015-07-26,1,4,5,97,6
2015-08-02,1,4,5,97,5
2015-08-09,1,4,5,97,5
2015-08-16,1,4,5,96,5
2015-08-23,1,4,5,97,5
2015-08-30,1,4,5,91,5
2015-09-06,1,4,5,88,5
2015-09-13,1,4,5,92,5
2015-09-20,1,4,5,96,5
2015-09-27,1,4,5,96,5
2015-10-04,1,4,5,93,5
2015-10-11,1,4,5,94,5
2015-10-18,1,4,5,92,5
2015-10-25,1,4,5,92,5
2015-11-01,1,4,5,92,5
2015-11-08,1,4,5,90,5
2015-11-15,1,4,5,92,5
2015-11-22,1,4,5,90,5
2015-11-29,1,4,5,89,5
2015-12-06,1,4,5,88,5
2015-12-13,1,4,5,87,5
2015-12-20,1,4,5,91,5
2015-12-27,1,4,7,94,5
2016-01-03,1,4,5,97,5
2016-01-10,1,4,5,92,5
2016-01-17,1,4,5,95,5
2016-01-24,1,4,5,95,5
2016-01-31,1,3,5,92,5
2016-02-07,1,4,5,92,5
2016-02-14,1,4,5,93,5
2016-02-21,1,4,5,92,5
2016-02-28,1,4,5,91,5
2016-03-06,1,4,5,90,5
2016-03-13,1,4,5,92,5
2016-03-20,1,4,5,93,5
2016-03-27,1,4,6,91,5
2016-04-03,1,4,5,90,5
2016-04-10,1,4,5,90,5
2016-04-17,1,4,5,90,5
2016-04-24,1,4,5,89,5
2016-05-01,1,4,5,90,5
2016-05-08,1,4,6,91,5
2016-05-15,0,4,5,90,5
2016-05-22,0,4,6,90,5
2016-05-29,1,4,6,91,5
2016-06-05,1,4,6,88,5
2016-06-12,1,4,6,88,5
2016-06-19,1,4,6,89,5
2016-06-26,1,4,6,88,5
2016-07-03,1,4,6,90,5
2016-07-10,0,4,6,90,5
2016-07-17,0,4,6,89,5
2016-07-24,0,4,6,90,5
2016-07-31,0,4,6,87,5
2016-08-07,1,4,6,87,5
2016-08-14,0,4,6,86,4
2016-08-21,0,4,6,85,5
2016-08-28,0,4,6,84,5
2016-09-04,0,4,6,75,4
2016-09-11,0,4,6,79,4
2016-09-18,0,4,6,80,4
2016-09-25,0,4,6,79,5
2016-10-02,1,4,6,78,5
2016-10-09,0,4,6,78,5
2016-10-16,0,4,6,77,5
2016-10-23,0,4,6,77,4
2016-10-30,0,4,6,77,4
2016-11-06,0,4,6,73,5
2016-11-13,0,4,6,73,4
2016-11-20,0,4,6,73,4
2016-11-27,0,4,6,73,4
2016-12-04,0,4,6,73,4
2016-12-11,0,4,6,73,4
2016-12-18,0,4,6,76,4
2016-12-25,0,4,7,77,4
2017-01-01,1,4,7,75,4
2017-01-08,1,4,6,71,5
2017-01-15,0,4,6,71,5
2017-01-22,1,4,6,72,5
2017-01-29,0,4,6,70,5
2017-02-05,0,4,6,70,5
2017-02-12,0,4,6,69,5
2017-02-19,0,4,6,70,5
2017-02-26,1,4,6,69,5
2017-03-05,0,4,6,69,5
2017-03-12,0,4,6,67,5
2017-03-19,0,4,6,68,5
2017-03-26,0,4,6,69,5
2017-04-02,0,4,6,66,5
2017-04-09,1,4,7,69,5
2017-04-16,1,4,7,68,5
2017-04-23,1,4,7,67,5
2017-04-30,1,4,7,69,5
2017-05-07,1,4,6,67,5
2017-05-14,0,4,6,67,5
2017-05-21,0,4,6,67,5
2017-05-28,0,4,6,67,5
2017-06-04,0,4,7,66,5
2017-06-11,0,4,7,66,5
2017-06-18,0,4,7,65,5
2017-06-25,0,5,7,67,5
2017-07-02,0,5,7,65,5
2017-07-09,0,5,7,66,5
2017-07-16,1,5,7,67,5
2017-07-23,0,4,7,67,5
2017-07-30,1,4,7,68,5
2017-08-06,1,4,7,67,5
2017-08-13,0,4,7,68,5
2017-08-20,0,4,7,67,5
2017-08-27,1,5,7,65,5
2017-09-03,0,4,7,64,5
2017-09-10,0,4,7,64,4
2017-09-17,0,4,7,63,4
2017-09-24,0,4,7,63,5
2017-10-01,0,4,7,63,5
2017-10-08,0,4,7,62,5
2017-10-15,1,4,7,62,5
2017-10-22,1,4,7,61,4
2017-10-29,1,5,7,60,5
2017-11-05,1,5,7,59,4
2017-11-12,1,5,7,57,4
2017-11-19,0,5,7,56,4
2017-11-26,0,5,7,56,4
2017-12-03,1,5,7,56,5
2017-12-10,1,5,7,56,5
2017-12-17,1,5,7,57,5
2017-12-24,1,5,8,59,4
2017-12-31,1,5,8,59,5
2018-01-07,1,5,7,54,5
2018-01-14,1,5,8,54,5
2018-01-21,1,5,8,53,5
2018-01-28,1,5,7,52,5
2018-02-04,1,5,7,52,5
2018-02-11,1,5,8,53,4
2018-02-18,1,5,8,52,5
2018-02-25,1,5,7,51,5
2018-03-04,1,5,8,50,5
2018-03-11,1,5,7,50,5
2018-03-18,1,5,8,51,5
2018-03-25,1,5,8,52,5
2018-04-01,1,5,8,50,5
2018-04-08,1,5,8,51,5
2018-04-15,1,5,8,48,5
2018-04-22,1,5,8,48,5
2018-04-29,1,5,8,48,5
2018-05-06,1,5,8,47,4
2018-05-13,1,5,8,46,4
2018-05-20,1,5,8,48,5
2018-05-27,1,5,8,47,5
2018-06-03,1,5,8,47,5
2018-06-10,1,5,8,45,5
2018-06-17,1,5,8,46,5
2018-06-24,1,5,8,45,5
2018-07-01,1,5,8,44,5
2018-07-08,1,5,9,45,5
2018-07-15,1,5,8,44,5
2018-07-22,1,5,9,45,5
2018-07-29,1,5,9,45,5
2018-08-05,1,5,9,43,5
2018-08-12,1,5,8,43,5
2018-08-19,1,5,8,44,5
2018-08-26,1,5,8,44,5
2018-09-02,1,5,8,42,5
2018-09-09,1,5,8,43,5
2018-09-16,1,5,8,42,4
2018-09-23,1,5,8,40,5
2018-09-30,1,5,8,40,4
2018-10-07,1,5,8,40,4
2018-10-14,1,5,8,39,4
2018-10-21,1,5,8,39,4
2018-10-28,1,5,8,39,5
2018-11-04,1,5,8,40,4
2018-11-11,1,5,8,39,4
2018-11-18,1,5,8,39,4
2018-11-25,1,5,8,37,4
2018-12-02,1,5,8,37,5
2018-12-09,1,5,8,37,5
2018-12-16,1,5,8,38,5
2018-12-23,1,5,9,39,4
2018-12-30,1,5,10,39,5
2019-01-06,1,5,9,37,5
2019-01-13,1,5,9,36,5
2019-01-20,1,5,8,36,5
2019-01-27,1,5,9,36,5
2019-02-03,1,5,8,35,5
2019-02-10,1,5,9,36,5
2019-02-17,1,5,9,36,5
2019-02-24,1,5,8,35,5
2019-03-03,1,5,8,35,5
2019-03-10,1,5,10,37,5
2019-03-17,1,5,8,35,5
2019-03-24,1,5,8,34,4
2019-03-31,1,5,8,34,5
2019-04-07,1,5,8,34,4
2019-04-14,1,5,9,35,5
2019-04-21,1,5,9,35,5
2019-04-28,1,5,9,34,5
2019-05-05,1,5,9,35,5
2019-05-12,1,5,9,36,5
2019-05-19,1,6,9,35,5
2019-05-26,1,6,9,36,5
2019-06-02,1,6,10,35,5
2019-06-09,1,6,10,35,5
2019-06-16,1,6,10,35,5
2019-06-23,1,6,10,33,5
2019-06-30,1,6,10,35,5
2019-07-07,1,6,10,33,5
2019-07-14,1,6,10,34,5
2019-07-21,1,6,10,35,5
2019-07-28,1,6,10,33,5
2019-08-04,1,6,10,34,5
2019-08-11,1,6,10,34,5
2019-08-18,1,6,10,34,5
2019-08-25,1,6,10,33,5
2019-09-01,1,6,10,31,5
2019-09-08,1,6,10,31,5
2019-09-15,1,6,9,31,5
2019-09-22,1,6,9,32,5
2019-09-29,1,6,9,31,5
2019-10-06,1,6,10,31,5
2019-10-13,1,6,10,32,6
2019-10-20,1,6,9,31,5
2019-10-27,1,6,9,31,5
2019-11-03,1,6,9,31,5
2019-11-10,1,6,9,31,5
2019-11-17,1,6,9,31,5
2019-11-24,1,6,9,30,5
2019-12-01,1,6,9,30,5
2019-12-08,1,6,9,30,5
2019-12-15,1,6,9,31,5
2019-12-22,1,7,10,32,5
2019-12-29,1,7,11,31,5
2020-01-05,1,6,10,31,6
2020-01-12,1,6,9,29,5
2020-01-19,1,6,9,30,6
2020-01-26,1,6,10,30,6
2020-02-02,1,6,9,29,6
2020-02-09,1,6,9,29,6
2020-02-16,1,6,9,29,6
2020-02-23,1,6,9,29,6
2020-03-01,1,6,9,29,6
2020-03-08,1,7,9,30,6
2020-03-15,1,7,10,33,7
2020-03-22,1,7,11,33,7
2020-03-29,1,7,10,33,6
2020-04-05,1,7,10,32,6
2020-04-12,1,7,11,31,6
2020-04-19,1,7,10,31,6
2020-04-26,1,7,10,31,6
2020-05-03,1,6,10,30,6
2020-05-10,1,6,10,30,6
2020-05-17,1,7,11,30,6
2020-05-24,1,7,10,29,7
2020-05-31,1,6,11,30,7
2020-06-07,1,7,10,29,6
2020-06-14,1,7,10,30,7
2020-06-21,1,7,10,31,6
