date,Craigslist
2015-06-28,97
2015-07-05,98
2015-07-12,99
2015-07-19,99
2015-07-26,100
2015-08-02,100
2015-08-09,99
2015-08-16,100
2015-08-23,96
2015-08-30,94
2015-09-06,92
2015-09-13,90
2015-09-20,91
2015-09-27,91
2015-10-04,88
2015-10-11,89
2015-10-18,89
2015-10-25,88
2015-11-01,87
2015-11-08,84
2015-11-15,84
2015-11-22,78
2015-11-29,83
2015-12-06,84
2015-12-13,82
2015-12-20,82
2015-12-27,92
2016-01-03,89
2016-01-10,86
2016-01-17,91
2016-01-24,90
2016-01-31,94
2016-02-07,92
2016-02-14,93
2016-02-21,95
2016-02-28,93
2016-03-06,94
2016-03-13,92
2016-03-20,92
2016-03-27,92
2016-04-03,92
2016-04-10,91
2016-04-17,91
2016-04-24,94
2016-05-01,93
2016-05-08,92
2016-05-15,93
2016-05-22,93
2016-05-29,94
2016-06-05,91
2016-06-12,90
2016-06-19,92
2016-06-26,93
2016-07-03,93
2016-07-10,92
2016-07-17,96
2016-07-24,96
2016-07-31,94
2016-08-07,92
2016-08-14,94
2016-08-21,92
2016-08-28,90
2016-09-04,90
2016-09-11,89
2016-09-18,87
2016-09-25,85
2016-10-02,83
2016-10-09,83
2016-10-16,83
2016-10-23,82
2016-10-30,81
2016-11-06,77
2016-11-13,80
2016-11-20,75
2016-11-27,79
2016-12-04,80
2016-12-11,77
2016-12-18,77
2016-12-25,82
2017-01-01,83
2017-01-08,83
2017-01-15,82
2017-01-22,83
2017-01-29,83
2017-02-05,84
2017-02-12,83
2017-02-19,89
2017-02-26,90
2017-03-05,88
2017-03-12,85
2017-03-19,86
2017-03-26,88
2017-04-02,86
2017-04-09,89
2017-04-16,84
2017-04-23,87
2017-04-30,87
2017-05-07,84
2017-05-14,85
2017-05-21,86
2017-05-28,84
2017-06-04,85
2017-06-11,87
2017-06-18,87
2017-06-25,87
2017-07-02,84
2017-07-09,89
2017-07-16,87
2017-07-23,85
2017-07-30,86
2017-08-06,86
2017-08-13,83
2017-08-20,83
2017-08-27,82
2017-09-03,79
2017-09-10,77
2017-09-17,79
2017-09-24,79
2017-10-01,77
2017-10-08,78
2017-10-15,78
2017-10-22,77
2017-10-29,75
2017-11-05,76
2017-11-12,77
2017-11-19,70
2017-11-26,76
2017-12-03,74
2017-12-10,72
2017-12-17,75
2017-12-24,76
2017-12-31,76
2018-01-07,77
2018-01-14,75
2018-01-21,75
2018-01-28,76
2018-02-04,76
2018-02-11,75
2018-02-18,81
2018-02-25,76
2018-03-04,74
2018-03-11,75
2018-03-18,74
2018-03-25,66
2018-04-01,63
2018-04-08,61
2018-04-15,61
2018-04-22,60
2018-04-29,60
2018-05-06,57
2018-05-13,56
2018-05-20,56
2018-05-27,56
2018-06-03,56
2018-06-10,56
2018-06-17,54
2018-06-24,55
2018-07-01,53
2018-07-08,56
2018-07-15,56
2018-07-22,56
2018-07-29,55
2018-08-05,54
2018-08-12,52
2018-08-19,53
2018-08-26,51
2018-09-02,50
2018-09-09,49
2018-09-16,48
2018-09-23,47
2018-09-30,46
2018-10-07,46
2018-10-14,45
2018-10-21,45
2018-10-28,44
2018-11-04,45
2018-11-11,43
2018-11-18,41
2018-11-25,42
2018-12-02,43
2018-12-09,43
2018-12-16,42
2018-12-23,44
2018-12-30,48
2019-01-06,46
2019-01-13,46
2019-01-20,45
2019-01-27,46
2019-02-03,46
2019-02-10,46
2019-02-17,47
2019-02-24,48
2019-03-03,48
2019-03-10,45
2019-03-17,46
2019-03-24,47
2019-03-31,46
2019-04-07,45
2019-04-14,46
2019-04-21,44
2019-04-28,45
2019-05-05,44
2019-05-12,43
2019-05-19,43
2019-05-26,44
2019-06-02,43
2019-06-09,43
2019-06-16,43
2019-06-23,43
2019-06-30,42
2019-07-07,43
2019-07-14,43
2019-07-21,43
2019-07-28,44
2019-08-04,43
2019-08-11,43
2019-08-18,43
2019-08-25,40
2019-09-01,40
2019-09-08,41
2019-09-15,38
2019-09-22,38
2019-09-29,38
2019-10-06,37
2019-10-13,37
2019-10-20,38
2019-10-27,35
2019-11-03,37
2019-11-10,36
2019-11-17,36
2019-11-24,32
2019-12-01,34
2019-12-08,34
2019-12-15,33
2019-12-22,35
2019-12-29,38
2020-01-05,36
2020-01-12,36
2020-01-19,36
2020-01-26,36
2020-02-02,35
2020-02-09,36
2020-02-16,37
2020-02-23,37
2020-03-01,35
2020-03-08,33
2020-03-15,30
2020-03-22,30
2020-03-29,30
2020-04-05,33
2020-04-12,36
2020-04-19,36
2020-04-26,37
2020-05-03,37
2020-05-10,38
2020-05-17,39
2020-05-24,38
2020-05-31,36
2020-06-07,37
2020-06-14,37
2020-06-21,37
