date,Netflix
2015-06-28,32
2015-07-05,32
2015-07-12,33
2015-07-19,32
2015-07-26,32
2015-08-02,32
2015-08-09,32
2015-08-16,32
2015-08-23,32
2015-08-30,34
2015-09-06,33
2015-09-13,31
2015-09-20,33
2015-09-27,33
2015-10-04,32
2015-10-11,34
2015-10-18,35
2015-10-25,34
2015-11-01,33
2015-11-08,32
2015-11-15,32
2015-11-22,33
2015-11-29,32
2015-12-06,33
2015-12-13,34
2015-12-20,41
2015-12-27,43
2016-01-03,42
2016-01-10,36
2016-01-17,36
2016-01-24,33
2016-01-31,30
2016-02-07,30
2016-02-14,30
2016-02-21,30
2016-02-28,30
2016-03-06,29
2016-03-13,28
2016-03-20,33
2016-03-27,31
2016-04-03,29
2016-04-10,27
2016-04-17,27
2016-04-24,27
2016-05-01,27
2016-05-08,26
2016-05-15,27
2016-05-22,27
2016-05-29,29
2016-06-05,28
2016-06-12,29
2016-06-19,30
2016-06-26,30
2016-07-03,31
2016-07-10,29
2016-07-17,31
2016-07-24,31
2016-07-31,32
2016-08-07,27
2016-08-14,28
2016-08-21,29
2016-08-28,31
2016-09-04,32
2016-09-11,29
2016-09-18,30
2016-09-25,33
2016-10-02,31
2016-10-09,31
2016-10-16,31
2016-10-23,31
2016-10-30,32
2016-11-06,30
2016-11-13,31
2016-11-20,33
2016-11-27,33
2016-12-04,31
2016-12-11,33
2016-12-18,36
2016-12-25,41
2017-01-01,40
2017-01-08,37
2017-01-15,37
2017-01-22,35
2017-01-29,34
2017-02-05,34
2017-02-12,32
2017-02-19,32
2017-02-26,34
2017-03-05,32
2017-03-12,32
2017-03-19,35
2017-03-26,34
2017-04-02,35
2017-04-09,37
2017-04-16,36
2017-04-23,35
2017-04-30,38
2017-05-07,33
2017-05-14,33
2017-05-21,33
2017-05-28,34
2017-06-04,33
2017-06-11,34
2017-06-18,34
2017-06-25,36
2017-07-02,36
2017-07-09,38
2017-07-16,37
2017-07-23,39
2017-07-30,40
2017-08-06,38
2017-08-13,38
2017-08-20,39
2017-08-27,41
2017-09-03,39
2017-09-10,37
2017-09-17,37
2017-09-24,37
2017-10-01,38
2017-10-08,40
2017-10-15,38
2017-10-22,40
2017-10-29,42
2017-11-05,39
2017-11-12,39
2017-11-19,41
2017-11-26,39
2017-12-03,42
2017-12-10,40
2017-12-17,45
2017-12-24,55
2017-12-31,54
2018-01-07,48
2018-01-14,46
2018-01-21,47
2018-01-28,44
2018-02-04,43
2018-02-11,44
2018-02-18,43
2018-02-25,43
2018-03-04,42
2018-03-11,44
2018-03-18,43
2018-03-25,47
2018-04-01,45
2018-04-08,42
2018-04-15,42
2018-04-22,41
2018-04-29,44
2018-05-06,42
2018-05-13,43
2018-05-20,45
2018-05-27,44
2018-06-03,42
2018-06-10,44
2018-06-17,40
2018-06-24,40
2018-07-01,41
2018-07-08,41
2018-07-15,43
2018-07-22,44
2018-07-29,44
2018-08-05,41
2018-08-12,43
2018-08-19,45
2018-08-26,45
2018-09-02,43
2018-09-09,42
2018-09-16,41
2018-09-23,40
2018-09-30,40
2018-10-07,42
2018-10-14,43
2018-10-21,44
2018-10-28,47
2018-11-04,42
2018-11-11,42
2018-11-18,43
2018-11-25,41
2018-12-02,43
2018-12-09,44
2018-12-16,46
2018-12-23,69
2018-12-30,70
2019-01-06,57
2019-01-13,58
2019-01-20,55
2019-01-27,52
2019-02-03,49
2019-02-10,46
2019-02-17,47
2019-02-24,43
2019-03-03,44
2019-03-10,43
2019-03-17,43
2019-03-24,42
2019-03-31,42
2019-04-07,42
2019-04-14,45
2019-04-21,43
2019-04-28,45
2019-05-05,41
2019-05-12,41
2019-05-19,41
2019-05-26,46
2019-06-02,43
2019-06-09,44
2019-06-16,46
2019-06-23,42
2019-06-30,46
2019-07-07,46
2019-07-14,50
2019-07-21,50
2019-07-28,47
2019-08-04,45
2019-08-11,47
2019-08-18,46
2019-08-25,45
2019-09-01,44
2019-09-08,43
2019-09-15,45
2019-09-22,44
2019-09-29,44
2019-10-06,44
2019-10-13,45
2019-10-20,45
2019-10-27,46
2019-11-03,46
2019-11-10,46
2019-11-17,45
2019-11-24,44
2019-12-01,44
2019-12-08,45
2019-12-15,52
2019-12-22,67
2019-12-29,70
2020-01-05,58
2020-01-12,53
2020-01-19,55
2020-01-26,51
2020-02-02,50
2020-02-09,50
2020-02-16,50
2020-02-23,50
2020-03-01,48
2020-03-08,52
2020-03-15,83
2020-03-22,99
2020-03-29,100
2020-04-05,93
2020-04-12,89
2020-04-19,86
2020-04-26,84
2020-05-03,75
2020-05-10,70
2020-05-17,68
2020-05-24,67
2020-05-31,62
2020-06-07,64
2020-06-14,60
2020-06-21,62
