date,Twitter
2015-06-28,72
2015-07-05,74
2015-07-12,75
2015-07-19,75
2015-07-26,76
2015-08-02,72
2015-08-09,72
2015-08-16,73
2015-08-23,74
2015-08-30,70
2015-09-06,69
2015-09-13,70
2015-09-20,69
2015-09-27,68
2015-10-04,69
2015-10-11,68
2015-10-18,68
2015-10-25,68
2015-11-01,68
2015-11-08,69
2015-11-15,70
2015-11-22,64
2015-11-29,65
2015-12-06,66
2015-12-13,65
2015-12-20,67
2015-12-27,67
2016-01-03,65
2016-01-10,65
2016-01-17,66
2016-01-24,67
2016-01-31,65
2016-02-07,66
2016-02-14,67
2016-02-21,64
2016-02-28,64
2016-03-06,65
2016-03-13,63
2016-03-20,67
2016-03-27,65
2016-04-03,63
2016-04-10,62
2016-04-17,64
2016-04-24,62
2016-05-01,64
2016-05-08,64
2016-05-15,63
2016-05-22,64
2016-05-29,63
2016-06-05,63
2016-06-12,67
2016-06-19,66
2016-06-26,65
2016-07-03,67
2016-07-10,68
2016-07-17,71
2016-07-24,67
2016-07-31,65
2016-08-07,63
2016-08-14,60
2016-08-21,62
2016-08-28,64
2016-09-04,61
2016-09-11,61
2016-09-18,60
2016-09-25,62
2016-10-02,61
2016-10-09,62
2016-10-16,65
2016-10-23,59
2016-10-30,60
2016-11-06,69
2016-11-13,59
2016-11-20,57
2016-11-27,58
2016-12-04,57
2016-12-11,59
2016-12-18,60
2016-12-25,58
2017-01-01,61
2017-01-08,64
2017-01-15,65
2017-01-22,66
2017-01-29,65
2017-02-05,67
2017-02-12,66
2017-02-19,61
2017-02-26,64
2017-03-05,63
2017-03-12,61
2017-03-19,63
2017-03-26,62
2017-04-02,61
2017-04-09,61
2017-04-16,62
2017-04-23,62
2017-04-30,64
2017-05-07,61
2017-05-14,62
2017-05-21,62
2017-05-28,61
2017-06-04,64
2017-06-11,62
2017-06-18,62
2017-06-25,63
2017-07-02,66
2017-07-09,63
2017-07-16,64
2017-07-23,66
2017-07-30,63
2017-08-06,63
2017-08-13,65
2017-08-20,64
2017-08-27,65
2017-09-03,61
2017-09-10,61
2017-09-17,60
2017-09-24,64
2017-10-01,62
2017-10-08,63
2017-10-15,62
2017-10-22,59
2017-10-29,64
2017-11-05,63
2017-11-12,60
2017-11-19,59
2017-11-26,60
2017-12-03,62
2017-12-10,63
2017-12-17,60
2017-12-24,58
2017-12-31,65
2018-01-07,65
2018-01-14,68
2018-01-21,62
2018-01-28,63
2018-02-04,65
2018-02-11,61
2018-02-18,62
2018-02-25,64
2018-03-04,61
2018-03-11,63
2018-03-18,64
2018-03-25,63
2018-04-01,63
2018-04-08,64
2018-04-15,62
2018-04-22,63
2018-04-29,62
2018-05-06,61
2018-05-13,58
2018-05-20,60
2018-05-27,66
2018-06-03,60
2018-06-10,62
2018-06-17,65
2018-06-24,65
2018-07-01,62
2018-07-08,62
2018-07-15,63
2018-07-22,63
2018-07-29,61
2018-08-05,62
2018-08-12,60
2018-08-19,62
2018-08-26,62
2018-09-02,63
2018-09-09,61
2018-09-16,61
2018-09-23,61
2018-09-30,60
2018-10-07,60
2018-10-14,59
2018-10-21,61
2018-10-28,63
2018-11-04,61
2018-11-11,58
2018-11-18,58
2018-11-25,58
2018-12-02,62
2018-12-09,62
2018-12-16,61
2018-12-23,60
2018-12-30,65
2019-01-06,64
2019-01-13,63
2019-01-20,63
2019-01-27,65
2019-02-03,63
2019-02-10,63
2019-02-17,63
2019-02-24,65
2019-03-03,61
2019-03-10,62
2019-03-17,62
2019-03-24,62
2019-03-31,62
2019-04-07,62
2019-04-14,64
2019-04-21,64
2019-04-28,65
2019-05-05,61
2019-05-12,64
2019-05-19,66
2019-05-26,63
2019-06-02,67
2019-06-09,67
2019-06-16,69
2019-06-23,67
2019-06-30,68
2019-07-07,69
2019-07-14,67
2019-07-21,67
2019-07-28,67
2019-08-04,69
2019-08-11,66
2019-08-18,68
2019-08-25,68
2019-09-01,67
2019-09-08,66
2019-09-15,65
2019-09-22,71
2019-09-29,68
2019-10-06,69
2019-10-13,74
2019-10-20,70
2019-10-27,69
2019-11-03,68
2019-11-10,68
2019-11-17,68
2019-11-24,66
2019-12-01,68
2019-12-08,71
2019-12-15,72
2019-12-22,70
2019-12-29,74
2020-01-05,76
2020-01-12,69
2020-01-19,75
2020-01-26,79
2020-02-02,74
2020-02-09,77
2020-02-16,74
2020-02-23,77
2020-03-01,77
2020-03-08,83
2020-03-15,90
2020-03-22,89
2020-03-29,86
2020-04-05,82
2020-04-12,84
2020-04-19,83
2020-04-26,81
2020-05-03,79
2020-05-10,80
2020-05-17,79
2020-05-24,90
2020-05-31,100
2020-06-07,86
2020-06-14,89
2020-06-21,88
