,CVX,XOM,PTR,GM,AAPL,AMZN,GOOGL,ID,Timestamp,Weekly_average_change_views,Weekly_average_views,Users,In-Game,av_conc_viewers,av_conc_channels,time_watched,active_streamers,PS,deaths,confirmed,recovered,active,new_confirmed,new_recovered,Date,IX
0,,,,,,,,1.7227637,1.7227341,0.99678934,1.6226234,1.322361,0.6451988,1.4822397,1.2943376,1.5469443,1.0859782,0.9112472,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-01,ix_dusseldorf
1,0.5467495,-1.6149539,-1.6841501,-0.2251504,3.3162663,1.0581373,2.0366433,1.7413881,1.7413529,1.0475667,1.617587,1.4997208,0.6201358,1.5034068,1.30598,1.5541512,1.0874549,0.57971054,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-02,ix_dusseldorf
2,0.6921926,-1.401043,-1.6398448,-0.31398553,3.3428006,1.0308758,2.0334828,1.7600125,1.7599716,1.0939928,1.6129807,1.7256852,0.9684382,1.5231953,1.3160149,1.5590047,1.0863245,0.5771204,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-03,ix_dusseldorf
3,,,,,,,,1.778637,1.7785903,1.1311604,1.609056,2.2765336,1.3396106,1.5416557,1.3245487,1.5616612,1.0827965,0.63798845,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-04,ix_dusseldorf
4,,,,,,,,1.7972615,1.7972091,1.1550215,1.6059961,2.1729958,1.1066406,1.5588385,1.331688,1.5622776,1.0770805,0.50071156,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-05,ix_dusseldorf
5,0.61122423,-1.5993968,-1.3913026,-0.5706203,3.244827,1.0191923,2.061465,1.815886,1.8158278,1.1632004,1.603913,0.7819083,0.071026884,1.5747944,1.3375392,1.5610102,1.0693861,0.39710638,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-06,ix_dusseldorf
6,0.27835432,-1.5643932,-1.4366885,-0.63642406,3.421238,1.1347291,2.437876,1.8345104,1.8344465,1.1555439,1.6028539,0.16747233,-0.2976555,1.5895737,1.3422086,1.5580157,1.0599232,-0.04969103,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-07,ix_dusseldorf
7,0.20788184,-1.6402344,-1.4453335,-0.8700275,3.3430922,1.1179569,2.3943994,1.8531349,1.8530654,1.1343623,1.6028172,0.266383,-0.28236523,1.6032271,1.3458028,1.5534508,1.048901,-0.28021258,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-08,ix_dusseldorf
8,0.06393808,-1.8288648,-1.5252992,-0.8864785,3.6368675,1.1487234,2.6033795,1.8717594,1.8716841,1.1045063,1.6037679,-0.0016466277,-0.4429584,1.615805,1.3484281,1.5474719,1.0365293,-0.4654069,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-09,ix_dusseldorf
9,0.053442184,-1.6752379,-1.577169,-0.8338354,3.734987,1.1369879,2.6615024,1.8903838,1.8903028,1.0729364,1.6056552,0.6204439,0.08415582,1.6273581,1.3501911,1.5402358,1.0230178,-0.19085312,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-10,ix_dusseldorf
10,,,,,,,,1.9090083,1.9089216,1.04779,1.6084285,2.1414685,1.1383816,1.6379366,1.3511981,1.5318987,1.0085758,0.33623832,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-11,ix_dusseldorf
