,CVX,XOM,PTR,GM,AAPL,AMZN,GOOGL,ID,Timestamp,Weekly_average_change_views,Weekly_average_views,Users,In-Game,av_conc_viewers,av_conc_channels,time_watched,active_streamers,PS,deaths,confirmed,recovered,active,new_confirmed,new_recovered,Date,IX
0,,,,,,,,,,,,,,-1.0082753,-1.3547966,-0.87770605,-1.3732342,1.7621049,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-01,
1,,,,,,,,,,,,,,-1.010647,-1.3524146,-0.8619634,-1.3849274,1.6002218,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-02,
2,0.1823918,2.4104588,0.95471984,-0.88976866,-1.9451522,-1.8421752,-2.1860504,,,,,,,-1.0138006,-1.3501993,-0.84966916,-1.3957212,1.1365885,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-03,
3,0.18689005,2.4454625,0.8628673,-0.6857769,-1.9436942,-1.8409549,-2.1145918,,,,,,,-1.0177057,-1.3481491,-0.8407083,-1.4056413,0.86332977,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-04,
4,0.12541406,2.2646105,1.1308607,-0.22186022,-1.9416531,-1.8327506,-2.1330154,,,,,,,-1.0223323,-1.346262,-0.8349656,-1.4147133,0.6716602,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-05,
5,0.042946286,1.9923605,1.248648,-0.41927156,-1.9165765,-1.7787209,-2.0752778,,,,,,,-1.0276504,-1.3445361,-0.832326,-1.422963,1.3826509,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-06,
6,,,,,,,,,,,,,,-1.0336297,-1.3429695,-0.8326744,-1.4304162,1.8035469,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-07,
7,,,,,,,,,,,,,,-1.0402403,-1.3415605,-0.8358956,-1.4370986,1.365815,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-08,
8,-0.13098577,1.8815157,1.3491455,-0.51468706,-1.8824607,-1.7381141,-1.9875541,,,,,,,-1.047452,-1.340307,-0.8418745,-1.443036,0.37509027,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-09,
9,-0.24044299,1.6773281,1.3966928,-0.49165574,-1.8585504,-1.741749,-1.982158,,,,,,,-1.0552348,-1.3392072,-0.850496,-1.448254,0.11607729,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-10,
10,-0.30191898,1.4303584,1.4507236,-0.04748018,-1.8594252,-1.7493823,-1.9856268,,,,,,,-1.0635585,-1.3382592,-0.8616449,-1.4527782,0.04096352,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-11,
11,-0.09949806,1.6967746,1.4604492,0.10386853,-1.8549056,-1.7321166,-1.9720597,,,,,,,-1.0723931,-1.3374612,-0.87520623,-1.4566348,-0.047100898,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-12,
12,-0.19546057,1.5023102,1.5144801,-0.044189993,-1.8486364,-1.695742,-1.9518632,,,,,,,-1.0817084,-1.3368113,-0.8910647,-1.459849,0.30774692,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-13,
13,,,,,,,,,,,,,,-1.0914745,-1.3363075,-0.9091053,-1.4624468,1.1314082,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-14,
14,,,,,,,,,,,,,,-1.1016611,-1.335948,-0.92921287,-1.464454,0.94232875,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-15,
15,,,,,,,,,,,,,,-1.1122383,-1.3357308,-0.95127225,-1.4658962,0.24040353,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-16,
16,-0.11449221,1.5625942,1.5760754,-0.11328397,-1.8710887,-1.692159,-1.9595718,,,,,,,-1.1231757,-1.3356543,-0.9751684,-1.4667991,-0.19862351,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-17,
17,-0.22245003,1.6559371,1.5922847,-0.07709189,-1.8226851,-1.7082564,-1.9611136,,,,,,,-1.1344436,-1.3357162,-1.0007861,-1.4671887,-0.15588635,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-18,
18,-0.19096233,1.4439709,1.517722,-0.017868478,-1.8401804,-1.7069582,-1.9672804,,,,,,,-1.1460117,-1.3359151,-1.0280102,-1.4670904,-0.25172117,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-19,
19,-0.12648752,1.3409047,1.4885453,-0.086962454,-1.8095636,-1.6932495,-1.9665866,,,,,,,-1.1578498,-1.3362486,-1.0567257,-1.46653,-0.01342921,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-20,
20,,,,,,,,,,,,,,-1.1699281,-1.3367153,-1.0868175,-1.4655334,0.77915055,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-21,
21,,,,,,,,,,,,,,-1.1822162,-1.337313,-1.1181703,-1.4641261,0.6910861,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-22,
22,-0.30641723,1.3875762,1.3480649,-0.22186022,-1.8226851,-1.7152665,-1.947161,,,,,,,-1.1946841,-1.33804,-1.1506691,-1.462334,-0.25560635,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-23,
23,-0.19695999,1.2514511,1.398854,-0.3238561,-1.8358065,-1.6758021,-1.8286798,,,,,,,-1.207302,-1.3388942,-1.1841987,-1.4601828,-0.2206396,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-24,
24,-0.039521497,1.3214583,1.4399174,0.008453038,-1.8104384,-1.665962,-1.7780343,,,,,,,-1.2200394,-1.339874,-1.2186441,-1.4576982,-0.28539285,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-25,
25,0.050443355,1.3895209,1.5879622,0.13677043,-1.7739898,-1.6406738,-1.735637,,,,,,,-1.2328664,-1.3409773,-1.25389,-1.454906,-0.31129417,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-26,
26,-0.54482406,1.3136797,1.486384,-0.05406056,-1.7602851,-1.6316645,-1.7360225,,,,,,,-1.2457528,-1.3422023,-1.2898215,-1.4518318,0.018947415,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-27,
27,,,,,,,,,,,,,,-1.2586687,-1.3435471,-1.3263233,-1.4485016,0.6120872,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-28,
28,,,,,,,,,,,,,,-1.2715838,-1.3450098,-1.3632803,-1.4449407,0.52402276,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-29,
29,-0.6018018,1.3370155,1.3750803,-0.27779344,-1.7955674,-1.6472424,-1.9051491,,,,,,,-1.2844682,-1.3465885,-1.4005773,-1.4411752,-0.3022287,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-30,
30,-0.790728,1.263119,1.4020958,-0.4719146,-1.7891524,-1.6712586,-2.040512,,,,,,,-1.2972916,-1.3482814,-1.4380994,-1.4372307,-0.27891752,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-31,
