"","Worldwide"
"1-Mar","1.8%"
"2-Mar","0.2%"
"3-Mar","0.5%"
"4-Mar","2.2%"
"5-Mar","2.4%"
"6-Mar","1.7%"
"7-Mar","1.9%"
"8-Mar","1.0%"
"9-Mar","2.7%"
"10-Mar","3.8%"
"11-Mar","3.6%"
"12-Mar","5.2%"
"13-Mar","7.0%"
"14-Mar","6.0%"
"15-Mar","4.4%"
"16-Mar","6.5%"
"17-Mar","11.6%"
"18-Mar","10.8%"
"19-Mar","11.8%"
"20-Mar","13.7%"
"21-Mar","8.9%"
"22-Mar","8.9%"
"23-Mar","10.6%"
"24-Mar","18.5%"
"25-Mar","24.4%"
"26-Mar","21.6%"
"27-Mar","23.1%"
"28-Mar","17.9%"
"29-Mar","13.7%"
"30-Mar","16.5%"
"31-Mar","17.1%"
"1-Apr","17.5%"
"2-Apr","13.1%"
"3-Apr","17.3%"
"4-Apr","13.5%"
"5-Apr","11.6%"
"6-Apr","15.2%"
"7-Apr","13.5%"
"8-Apr","15.9%"
"9-Apr","14.4%"
"10-Apr","17.3%"
"11-Apr","12.6%"
"12-Apr","9.8%"
"13-Apr","18.0%"
"14-Apr","14.6%"
"15-Apr","16.2%"
"16-Apr","16.8%"
"17-Apr","17.1%"
"18-Apr","14.3%"
"19-Apr","11.2%"
"20-Apr","14.5%"
"21-Apr","13.8%"
"22-Apr","17.5%"
"23-Apr","17.4%"
"24-Apr","17.0%"
"25-Apr","10.7%"
"26-Apr","10.4%"
"27-Apr","15.6%"
"28-Apr","15.4%"
"29-Apr","18.0%"
"30-Apr","16.9%"
"1-May","18.0%"
"2-May","12.5%"
"3-May","12.0%"
"4-May","17.4%"
"5-May","17.4%"
"6-May","17.9%"
"7-May","17.3%"
"8-May","18.7%"
"9-May","12.7%"
"10-May","10.7%"
"11-May","18.3%"
"12-May","17.1%"
"13-May","17.9%"
"14-May","18.2%"
"15-May","17.9%"
"16-May","11.2%"
"17-May","10.7%"
"18-May","17.8%"
"19-May","17.9%"
"20-May","17.3%"
"21-May","13.1%"
"22-May","19.4%"
"23-May","13.5%"
"24-May","12.8%"
"25-May","19.2%"
"26-May","21.3%"
"27-May","18.5%"
"28-May","19.7%"
"29-May","19.0%"
"30-May","11.8%"
"31-May","10.2%"
"1-Jun","17.1%"
"2-Jun","17.8%"
"3-Jun","20.4%"
"4-Jun","21.4%"
"5-Jun","21.1%"
"6-Jun","14.7%"
"7-Jun","14.2%"
"8-Jun","20.7%"
"9-Jun","20.8%"
"10-Jun","21.6%"
"11-Jun","22.8%"
"12-Jun","22.4%"
"13-Jun","14.9%"
"14-Jun","13.4%"
"15-Jun","19.2%"
"16-Jun","19.1%"
