Date,Views,Accounts
2017-12-03,23549,5
2017-12-10,348049,5
2017-12-17,362889,5
2017-12-24,375802,5
2017-12-31,383388,4
2018-01-07,375866,4
2018-01-14,391146,4
2018-01-21,389012,4
2018-01-28,21012,4
2018-02-04,399788,5
2018-02-11,390575,3
2018-02-18,407975,4
2018-02-25,404156,4
2018-03-04,403624,4
2018-03-11,421097,4
2018-03-18,423728,4
2018-03-25,854,2
2018-04-01,415138,3
2018-04-08,407128,2
2018-04-15,432778,4
2018-04-22,422948,3
2018-04-29,429257,4
2018-05-06,622742,6
2018-05-13,615700,4
2018-05-20,195597,3
2018-05-27,636839,6
2018-06-03,632942,5
2018-06-10,465956,5
2018-06-17,656688,5
2018-06-24,660880,5
2018-07-01,652662,4
2018-07-08,673488,4
2018-07-15,204538,3
2018-07-22,667263,4
2018-07-29,672420,4
2018-08-05,483727,3
2018-08-12,691873,4
2018-08-19,696434,4
2018-08-26,690696,2
2018-09-02,697127,3
2018-09-09,212300,2
2018-09-16,714826,4
2018-09-23,766126,3
2018-09-30,583025,3
2018-10-07,788100,3
2018-10-14,792501,4
2018-10-21,823328,5
2018-10-28,811000,2
2018-11-04,242966,4
2018-11-11,1006424,6
2018-11-18,1021120,6
2018-11-25,809831,6
2018-12-02,409780,7
2018-12-09,471142,9
2018-12-16,460078,9
2018-12-23,316247,9
2018-12-30,502228,11
2019-01-06,479290,8
2019-01-13,523594,11
2019-01-20,331191,10
2019-01-27,1012533,34
2019-02-03,3169952,237
2019-02-10,8974238,660
2019-02-17,10756574,818
2019-02-24,27854495,2122
2019-03-03,36401068,2981
2019-03-10,53804353,5071
2019-03-17,82000515,7568
2019-03-24,104412623,8955
2019-03-31,120686859,9499
2019-04-07,131654375,9628
2019-04-14,135653236,9808
2019-04-21,104096914,7380
2019-04-28,84745891,5582
2019-05-05,103765165,6610
2019-05-12,67501990,4373
2019-05-19,2184895810,6650
2019-05-26,39539619892,14754
2019-06-02,41233750524,15310
2019-06-09,41773798633,15058
2019-06-16,42002115496,14252
2019-06-23,42245260722,14048
2019-06-30,42492648243,14098
2019-07-07,20217128689,10425
2019-07-14,24797819463,10992
2019-07-21,41176499690,13596
2019-07-28,42980119104,14054
2019-08-04,43526329347,13084
2019-08-11,43835201112,14311
2019-08-18,44148138839,14981
2019-08-25,44467244659,14811
2019-09-01,21173608884,10564
2019-09-08,25957303998,10337
2019-09-15,43073783192,13370
2019-09-22,44879276126,15629
2019-09-29,45461288564,17443
2019-10-06,45705939842,17397
2019-10-13,45961206240,17361
2019-10-20,46208086259,16564
2019-10-27,22015687468,12960
2019-11-03,26994797984,14204
2019-11-10,44738945428,17107
2019-11-17,46667031442,17355
2019-11-24,47201147473,17289
2019-12-01,47440481186,17394
2019-12-08,47611686923,17207
2019-12-15,47840770354,16222
2019-12-22,20178047424,13412
2019-12-29,28243388493,14227
2020-01-05,48393986888,17463
2020-01-12,48679040859,16966
2020-01-19,48938722018,17685
2020-01-26,49251350163,17682
2020-02-02,49589458525,17981
2020-02-09,49865451154,17329
2020-02-16,21009394719,13172
2020-02-23,29428896229,13013
2020-03-01,50392583261,16792
2020-03-08,50699159533,17159
2020-03-15,50994374007,16981
2020-03-22,51349217440,17455
2020-03-29,51743703388,18080
2020-04-05,52146409774,18064
2020-04-12,21987193918,13762
2020-04-19,30822660911,14213
2020-04-26,52857455030,16066
2020-05-03,53084012647,14426
2020-05-10,53480805054,15248
2020-05-17,53833913355,14908
2020-05-24,54218483770,17105
2020-05-31,54667562703,19253
2020-06-07,23009982029,13265
2020-06-14,32205715459,14094
2020-06-21,55225923858,14396
2020-06-28,55590307518,16376
