Date,Views,Accounts
2017-12-03,24017266,5
2017-12-10,125737969,5
2017-12-17,115672860,5
2017-12-24,127227791,5
2017-12-31,131291921,4
2018-01-07,117891717,4
2018-01-14,131739018,4
2018-01-21,130018667,4
2018-01-28,22649958,4
2018-02-04,136798568,5
2018-02-11,123079064,3
2018-02-18,137395709,4
2018-02-25,135388071,4
2018-03-04,127661551,4
2018-03-11,144317178,4
2018-03-18,143432449,4
2018-03-25,2288810,2
2018-04-01,132189269,3
2018-04-08,125147020,2
2018-04-15,150261449,4
2018-04-22,134322193,3
2018-04-29,146693075,4
2018-05-06,187548588,6
2018-05-13,174191113,4
2018-05-20,48806631,3
2018-05-27,191823661,6
2018-06-03,178746789,5
2018-06-10,161585517,5
2018-06-17,195357929,5
2018-06-24,196830879,5
2018-07-01,183033608,4
2018-07-08,177183011,4
2018-07-15,51686923,3
2018-07-22,163522236,4
2018-07-29,187531363,4
2018-08-05,152213918,3
2018-08-12,191146007,4
2018-08-19,192828182,4
2018-08-26,187014778,2
2018-09-02,188268635,3
2018-09-09,45825300,2
2018-09-16,197845162,4
2018-09-23,194763745,3
2018-09-30,165603090,3
2018-10-07,205174858,3
2018-10-14,198945924,4
2018-10-21,220795686,5
2018-10-28,202040725,2
2018-11-04,61466719,4
2018-11-11,229497032,6
2018-11-18,235011648,6
2018-11-25,188348461,5
2018-12-02,75203818,6
2018-12-09,103594082,8
2018-12-16,103258741,8
2018-12-23,96192446,8
2018-12-30,123068917,10
2019-01-06,113159395,8
2019-01-13,163642384,10
2019-01-20,124322176,9
2019-01-27,311196633,33
2019-02-03,2097482214,236
2019-02-10,6018920561,661
2019-02-17,7892315700,823
2019-02-24,21023561395,2123
2019-03-03,28253675181,2979
2019-03-10,40231914923,5065
2019-03-17,61781427896,7560
2019-03-24,79215837823,8940
2019-03-31,89278269123,9491
2019-04-07,95619768817,9643
2019-04-14,98558390391,9841
2019-04-21,75826581986,7410
2019-04-28,59969513585,5604
2019-05-05,73588533037,6657
2019-05-12,44808276023,4389
2019-05-19,1313872308778,6685
2019-05-26,20331142915395,14791
2019-06-02,21219533969078,15331
2019-06-09,21629184147013,15078
2019-06-16,21786797520813,14295
2019-06-23,21943829868575,14069
2019-06-30,22112000815769,14132
2019-07-07,10419092640141,10442
2019-07-14,13227543959587,11032
2019-07-21,21410632099286,13618
2019-07-28,22343544899069,14069
2019-08-04,22752379216609,13117
2019-08-11,22930423182840,14321
2019-08-18,23106244118595,15000
2019-08-25,23280515993535,14827
2019-09-01,10969512377244,10583
2019-09-08,13913087634039,10355
2019-09-15,22516744802519,13403
2019-09-22,23527944394375,15628
2019-09-29,23990612348902,17459
2019-10-06,24151417533412,17422
2019-10-13,24308231578909,17379
2019-10-20,24481090601282,16581
2019-10-27,11536237959342,12969
2019-11-03,14646845948012,14213
2019-11-10,23720352721848,17124
2019-11-17,24719198357344,17379
2019-11-24,25178457493736,17311
2019-12-01,25344314651938,17411
2019-12-08,25508806644832,17215
2019-12-15,25664461998770,16237
2019-12-22,10630165772575,13428
2019-12-29,15399955935392,14244
2020-01-05,26020844900230,17481
2020-01-12,26194917105310,16982
2020-01-19,26451323179467,17692
2020-01-26,26638836688342,17692
2020-02-02,26828241682310,17998
2020-02-09,27011379745410,17349
2020-02-16,11177988749727,13185
2020-02-23,16208400516871,13029
2020-03-01,27380546870083,16795
2020-03-08,27596758769183,17166
2020-03-15,27796821143750,16992
2020-03-22,28011736546192,17468
2020-03-29,28261285923610,18090
2020-04-05,28510307031890,18076
2020-04-12,11795062058513,13769
2020-04-19,17106973935189,14222
2020-04-26,28975421241790,16048
2020-05-03,29162252910712,14448
2020-05-10,29440507914337,15232
2020-05-17,29694440668116,14920
2020-05-24,29960959146258,17098
2020-05-31,30200314649279,19253
2020-06-07,12478191563794,13281
2020-06-14,18115493518020,14138
2020-06-21,30635359789542,14404
2020-06-28,30906310164085,16413
