Date,Views,Accounts
2017-12-01,23394379180,32095
2018-01-01,24322127387,32851
2018-02-01,25312257753,33613
2018-03-01,26231995254,34275
2018-04-01,27382463117,34651
2018-05-01,28397709905,34709
2018-06-01,29422283092,34866
2018-07-01,30579858272,35120
2018-08-01,31776401306,35408
2018-09-01,32867606151,35622
2018-10-01,33828704694,35541
2018-11-01,34894539831,35926
2018-12-01,36362424520,35796
2019-01-01,37284304121,36760
2019-02-01,38600555977,37297
2019-03-01,39667339704,38711
2019-04-01,40807021827,39441
2019-05-01,41974384106,40416
2019-06-01,42992398834,41232
2019-07-01,43789745574,41686
2019-08-01,44842631705,42397
2019-09-01,45903560458,42853
2019-10-01,46873403216,43456
2019-11-01,48085900203,44340
2019-12-01,48936992596,44845
2020-01-01,49860134096,45627
2020-02-01,50872057087,46266
2020-03-01,52278230109,47042
2020-04-01,53782519914,47856
2020-05-01,55019810931,48949
