Date,Views,Accounts
2017-12-01,12424618243523,33268
2018-01-01,12920149986051,34264
2018-02-01,13341808667830,35202
2018-03-01,13765179446455,35759
2018-04-01,14224911605944,36359
2018-05-01,14691630347498,36557
2018-06-01,15180338984170,36724
2018-07-01,15718946052763,37045
2018-08-01,16311519821435,37337
2018-09-01,16888260456046,37669
2018-10-01,17379018723088,37853
2018-11-01,17913895137075,38206
2018-12-01,18457709963300,38591
2019-01-01,19056102556831,38796
2019-02-01,19647856717597,39530
2019-03-01,20229487546192,40972
2019-04-01,20818611655817,41922
2019-05-01,21450718730861,42695
2019-06-01,22076809270136,43923
2019-07-01,22655427198547,44774
2019-08-01,23301363735687,45648
2019-09-01,23971774838061,46497
2019-10-01,24711160989225,47409
2019-11-01,25448716203521,48096
2019-12-01,26032644788119,48974
2020-01-01,26764562619976,49657
2020-02-01,27518783218372,50444
2020-03-01,28359556990689,51387
2020-04-01,29267410853690,52106
2020-05-01,30258836129291,53879
