Date,Weekly_average_change_views,Weekly_average_views
2018-01-07,5029663.639485906,5395.53125
2018-01-14,4772799.213024462,19761.0
2018-01-21,4779435.082716916,4208.741935483871
2018-01-28,3399658.0505857584,6087.225806451613
2018-02-04,4706080.572431294,13798.09677419355
2018-02-11,4708927.101333478,50838.3870967742
2018-02-18,4829794.834638864,44196.6129032258
2018-02-25,4777195.3305418985,21423.033333333333
2018-03-04,4506231.739013066,224866.6
2018-03-11,4757860.536194332,2916.5862068965516
2018-03-18,4957816.84488342,22391.90322580645
2018-03-25,4700349.435294811,28383.58064516129
2018-04-01,4773668.02977682,28872.3
2018-04-08,5586105.367925736,8020.548387096775
2018-04-15,4857615.393394852,4864.233333333334
2018-04-22,5156125.065393331,4624.333333333333
2018-04-29,4839221.730955978,3950.2
2018-05-06,5255876.011707581,31428.0
2018-05-13,5209372.146341464,29297.75
2018-05-20,4720270.56267199,38400.75
2018-05-27,4949945.833486213,30990.5
2018-06-03,4927707.047482869,4427.448275862069
2018-06-10,5000245.517507418,3459.3548387096776
2018-06-17,5292781.8599719405,2740.6129032258063
2018-06-24,5439745.396600108,4716.8125
2018-07-01,5503572.612217366,5576.53125
2018-07-08,5516851.465519102,4793.6875
2018-07-15,5425739.301246425,5468.548387096775
2018-07-22,6183809.398737251,7120.741935483871
2018-07-29,6077383.069015756,6283.5
2018-08-05,6256020.618086657,9669.28125
2018-08-12,5771601.837002266,10409.6875
2018-08-19,6499200.0220675515,340697.36363636365
2018-08-26,6782807.893936561,4754427.84375
2018-09-02,6960363.416065612,18677830.9375
2018-09-09,6531212.172355723,17786368.666666668
2018-09-16,5808901.49150006,837763.5
2018-09-23,5718617.273772261,444639.55555555556
2018-09-30,5730486.08192563,277562.8
2018-10-07,6017810.340817098,245081.4
2018-10-14,5357988.510448729,454333.1
2018-10-21,5507159.861676516,255875.8
2018-10-28,5693277.800452389,1590213.888888889
2018-11-04,5452818.722009389,861546.0
2018-11-11,5531963.755813326,1418977.0833333333
2018-11-18,5354766.051734369,1093721.7272727273
2018-11-25,5541921.796665947,1967598.0
2018-12-02,5496325.4559236085,1209756.6153846155
2018-12-09,4694226.052114803,1301911.1538461538
2018-12-16,5383702.730632283,856746.375
2018-12-23,5498834.512462236,747375.6111111111
2018-12-30,5900220.970976965,671353.8888888889
2019-01-06,5963931.7005448565,681150.0681818182
2019-01-13,5828920.257283125,858244.2653061225
2019-01-20,6639659.215041001,781302.28
2019-01-27,6479909.682112418,790714.0
2019-02-03,6552587.495846369,842752.5892857143
2019-02-10,6307527.630542669,1212752.0
2019-02-17,6763509.957063949,665700.052631579
2019-02-24,6702617.87095382,168590.75079872203
2019-03-03,6453485.383847648,58899.10624169987
2019-03-10,6094413.542403971,5302560.667270289
2019-03-17,6058752.226934283,5640300.915415449
2019-03-24,6468780.915623651,4697217.140946364
2019-03-31,6201416.391421635,4303634.492677054
2019-04-07,6143085.667422035,4220784.207833787
2019-04-14,6958368.864249487,4163357.4040465145
2019-04-21,6665826.827119193,4432713.31884351
2019-04-28,6508846.840982441,4694889.328308549
2019-05-05,6188487.111330049,4946598.60792066
2019-05-12,6821646.3876420865,4580960.484027497
2019-05-19,6319387.887264686,3996294.7188363736
2019-05-26,6462368.055720373,4489585.037994227
2019-06-02,6733693.540241666,4542965.556003494
2019-06-09,6842250.323191455,4987047.102348546
2019-06-16,6664844.568214921,6054559.430260521
2019-06-23,6400919.602235122,5601841.057911963
2019-06-30,6239266.648755198,5124637.725330485
2019-07-07,7132824.9311191095,5350219.298236237
2019-07-14,6943208.966563703,5465022.565014655
2019-07-21,6731537.71682132,9565921.637027118
2019-07-28,6723401.556793359,5507559.079025111
2019-08-04,6526567.441590676,5667340.838571619
2019-08-11,6472346.966760809,5950862.118313447
2019-08-18,7055536.219689515,5515367.761519427
2019-08-25,6870835.525418241,5535377.060464183
2019-09-01,7601639.727653327,5496928.415941059
2019-09-08,6745321.017552658,5445227.828540714
2019-09-15,6952979.365814179,5996689.092647256
2019-09-22,6949520.724883997,5851349.349325639
2019-09-29,7427293.172385885,6311663.780647752
2019-10-06,5295227.489722148,6712732.947619048
2019-10-13,7205773.469785259,6195922.007654089
2019-10-20,7492254.072727272,6613881.337665818
2019-10-27,7177457.76528025,6559484.836890858
2019-11-03,7313363.206775638,6476301.19794258
2019-11-10,5306467.0045854235,6557235.658144827
2019-11-17,6956537.548740357,5882679.354748042
2019-11-24,8175585.388789987,6610915.99745513
2019-12-01,7131356.41859085,7425881.293358179
2019-12-08,6775107.562928198,7530620.19810944
2019-12-15,6791242.972700297,7453937.931043682
2019-12-22,6731278.528780277,7195841.07277826
2019-12-29,7514010.918864973,15180593.6804896
2020-01-05,6423830.779660103,7431364.75798995
2020-01-12,8495335.457948968,7472645.883372681
2020-01-19,8145639.7467903765,9599300.771525832
2020-01-26,8184841.375768691,8043189.553621078
2020-02-02,6501951.976858345,7264647.954050625
2020-02-09,7352042.8557557445,7468170.94845018
2020-02-16,8162885.511813572,9381453.79096534
2020-02-23,7970926.499379619,7829727.068867047
2020-03-01,7903944.116200033,7321204.044059011
2020-03-08,7950443.647553805,7068828.245020719
2020-03-15,8805625.690220617,6971805.015963896
2020-03-22,8823295.479719525,
2020-03-29,9602649.622525487,
2020-04-05,9732347.056796117,
2020-04-12,9151510.948651563,
2020-04-19,9771575.146078326,
2020-04-26,10003926.788068397,
2020-05-03,10013716.027524924,
2020-05-10,10342982.423148248,
2020-05-17,10480137.68098888,
2020-05-24,8777516.223151194,
2020-05-31,8487804.01682848,
2020-06-07,10354131.68703484,
2020-06-14,10900131.853621703,
2020-06-21,9514704.655215187,
2020-06-28,8970769.77457115,
2020-07-05,7233764.043323057,
