Date,Views,Accounts
2017-12-03,151065434,18394
2017-12-10,155293162,18414
2017-12-17,154946288,18432
2017-12-24,182009414,18450
2017-12-31,188757907,18461
2018-01-07,201332333,18469
2018-01-14,178961962,18488
2018-01-21,207218548,18515
2018-01-28,216884617,18543
2018-02-04,187429524,18552
2018-02-11,177083400,18567
2018-02-18,183961798,18572
2018-02-25,188551702,18587
2018-03-04,184336398,18613
2018-03-11,183981434,18629
2018-03-18,196322029,18640
2018-03-25,256139058,17080
2018-04-01,209607760,17253
2018-04-08,245526511,15716
2018-04-15,190586959,18661
2018-04-22,172264311,18679
2018-04-29,170822061,18683
2018-05-06,188863266,18684
2018-05-13,177669646,18683
2018-05-20,174238312,18688
2018-05-27,184274204,18689
2018-06-03,188442215,18699
2018-06-10,194029414,18707
2018-06-17,195633431,18708
2018-06-24,208814832,18710
2018-07-01,223571721,18716
2018-07-08,220213657,18717
2018-07-15,218295019,18722
2018-07-22,223611776,18722
2018-07-29,231217053,18729
2018-08-05,238748592,18730
2018-08-12,224314840,18735
2018-08-19,223931735,18739
2018-08-26,215667474,16195
2018-09-02,219305587,17358
2018-09-09,208915542,15597
2018-09-16,200314410,16878
2018-09-23,187839524,18750
2018-09-30,189643024,18750
2018-10-07,196870044,18750
2018-10-14,197098620,18743
2018-10-21,183594151,18511
2018-10-28,219359522,18359
2018-11-04,221129310,18775
2018-11-11,211210497,18781
2018-11-18,199265377,18785
2018-11-25,228186729,18786
2018-12-02,225433414,18789
2018-12-09,237742412,18793
2018-12-16,147377066,18797
2018-12-23,210182586,18797
2018-12-30,231349551,18802
2019-01-06,230533828,18806
2019-01-13,209358769,18808
2019-01-20,221220310,18814
2019-01-27,241365827,18820
2019-02-03,226473356,18876
2019-02-10,223802607,18901
2019-02-17,223644611,17924
2019-02-24,218588348,18939
2019-03-03,212259755,18958
2019-03-10,216031108,18970
2019-03-17,232839608,18979
2019-03-24,242421963,18995
2019-03-31,230788050,19008
2019-04-07,226588810,19025
2019-04-14,219332888,19065
2019-04-21,229120433,19081
2019-04-28,218727576,18831
2019-05-05,203298378,18827
2019-05-12,203498718,17675
2019-05-19,189473495,19123
2019-05-26,178309201,19129
2019-06-02,191542783,19138
2019-06-09,193192097,19142
2019-06-16,174500882,19146
2019-06-23,192350219,19045
2019-06-30,177766582,19137
2019-07-07,184241615,18954
2019-07-14,212487650,19077
2019-07-21,202760613,19173
2019-07-28,205800202,18944
2019-08-04,198981195,19179
2019-08-11,239808375,19058
2019-08-18,215950475,18948
2019-08-25,237340937,19216
2019-09-01,235724108,19080
2019-09-08,193972782,18619
2019-09-15,191464340,19251
2019-09-22,90326077,19269
2019-09-29,178719500,19275
2019-10-06,189250864,19287
2019-10-13,203129496,19296
2019-10-20,185518900,19312
2019-10-27,211793804,19329
2019-11-03,184945350,19344
2019-11-10,208396852,19356
2019-11-17,167154513,19371
2019-11-24,176448247,19384
2019-12-01,185079244,19395
2019-12-08,116860585,19406
2019-12-15,186055915,19441
2019-12-22,197208103,19454
2019-12-29,202732668,19464
2020-01-05,213251384,19475
2020-01-12,200415224,19494
2020-01-19,222505665,19507
2020-01-26,246182726,19513
2020-02-02,222621986,19521
2020-02-09,222868288,19536
2020-02-16,224646387,19551
2020-02-23,213181154,19563
2020-03-01,227999871,19575
2020-03-08,200288339,19592
2020-03-15,252406940,19605
2020-03-22,277580754,19613
2020-03-29,278614552,19620
2020-04-05,317867284,19629
2020-04-12,276953180,19642
2020-04-19,272451352,19654
2020-04-26,267570562,19677
2020-05-03,261571036,19641
2020-05-10,256802890,19620
2020-05-17,249391387,19924
2020-05-24,241667524,19954
2020-05-31,335743420,19980
2020-06-07,248012061,20095
2020-06-14,269442084,20164
2020-06-21,212549551,16426
