Date,Views,Accounts
2017-12-03,65036164824,18394
2017-12-10,101562773834,18414
2017-12-17,85540362353,18432
2017-12-24,87968564039,18450
2017-12-31,88638410168,18461
2018-01-07,92998039655,18469
2018-01-14,88271230867,18488
2018-01-21,88391942411,18515
2018-01-28,62870493389,18543
2018-02-04,87042483473,18552
2018-02-11,87108688591,18567
2018-02-18,89304714675,18572
2018-02-25,88332892748,18587
2018-03-04,83331724166,18613
2018-03-11,87395425523,18629
2018-03-18,91726231440,18640
2018-03-25,79994210601,17080
2018-04-01,81851529992,17253
2018-04-08,87137238177,15716
2018-04-15,89946265600,18661
2018-04-22,95485721541,18679
2018-04-29,89638632787,18683
2018-05-06,97335742178,18684
2018-05-13,96429794930,18683
2018-05-20,87354228259,18688
2018-05-27,91616005567,18689
2018-06-03,91000420408,18699
2018-06-10,92678681965,18707
2018-06-17,97892074440,18708
2018-06-24,100367627969,18710
2018-07-01,102057325811,18716
2018-07-08,102108540140,18717
2018-07-15,100389360365,18722
2018-07-22,114392500506,18722
2018-07-29,112271987874,18729
2018-08-05,115678912176,18730
2018-08-12,106754499601,18735
2018-08-19,120074685678,18739
2018-08-26,108595369528,16195
2018-09-02,119413194612,17358
2018-09-09,100588390865,15597
2018-09-16,96818268034,16878
2018-09-23,105658796012,18750
2018-09-30,105826355347,18750
2018-10-07,111130902357,18750
2018-10-14,98823045247,18743
2018-10-21,100332860175,18511
2018-10-28,102749833514,18359
2018-11-04,100657820616,18775
2018-11-11,102233811839,18781
2018-11-18,98812927638,18785
2018-11-25,102330001685,18786
2018-12-02,101466333421,18789
2018-12-09,85624907998,18793
2018-12-16,99411521609,18797
2018-12-23,101447316275,18797
2018-12-30,109035284301,18802
2019-01-06,110167563363,18806
2019-01-13,107772614524,18808
2019-01-20,122454805033,18814
2019-01-27,119666028103,18820
2019-02-03,121020827422,18876
2019-02-10,116464757734,18901
2019-02-17,118285460275,17924
2019-02-24,123769231718,18939
2019-03-03,119250222313,18958
2019-03-10,112922475627,18970
2019-03-17,111927520939,18979
2019-03-24,119471673763,18995
2019-03-31,114599792878,19008
2019-04-07,113614559246,19025
2019-04-14,128561818864,19065
2019-04-21,123200607552,19081
2019-04-28,119003951097,18831
2019-05-05,112664469913,18827
2019-05-12,116679010211,17675
2019-05-19,116880615203,19123
2019-05-26,119432930306,19129
2019-06-02,124306287212,19138
2019-06-09,126729292192,19142
2019-06-16,123364755024,19146
2019-06-23,118341022905,19045
2019-06-30,115953369215,19137
2019-07-07,131374406283,18954
2019-07-14,128722948736,19077
2019-07-21,124774765238,19173
2019-07-28,124255947127,18944
2019-08-04,121668788967,19179
2019-08-11,118723297652,19058
2019-08-18,130239962461,18948
2019-08-25,127718181726,19216
2019-09-01,139661778065,19080
2019-09-08,121130331144,18619
2019-09-15,128937131896,19251
2019-09-22,128815697185,19269
2019-09-29,137540418086,19275
2019-10-06,98072741043,19287
2019-10-13,133225533003,19296
2019-10-20,138904457320,19312
2019-10-27,133268359494,19329
2019-11-03,135961447548,19344
2019-11-10,98952524824,19356
2019-11-17,129277934486,19371
2019-11-24,151734989170,19384
2019-12-01,132297095272,19395
2019-12-08,125687622327,19406
2019-12-15,126931330711,19441
2019-12-22,125866423496,19454
2019-12-29,139639899739,19464
2020-01-05,119641703825,19475
2020-01-12,157959855562,19494
2020-01-19,151747493234,19507
2020-01-26,152015763573,19513
2020-02-02,120826193621,19521
2020-02-09,136520179924,19536
2020-02-16,151901147100,19551
2020-02-23,148971210836,19563
2020-03-01,146894088808,19575
2020-03-08,148017357166,19592
2020-03-15,163938773888,19605
2020-03-22,163693195291,19613
2020-03-29,177938366485,19620
2020-04-05,180438041828,19629
2020-04-12,170166916097,19642
2020-04-19,182644932956,19654
2020-04-26,186717985711,19677
2020-05-03,185526681769,19641
2020-05-10,190122468253,19620
2020-05-17,194851457881,19924
2020-05-24,163966276370,19954
2020-05-31,158324241465,19980
2020-06-07,193478456753,20095
2020-06-14,202559999136,20164
2020-06-21,175930390495,16426
