Date,Views,Accounts
2017-12-03,2600,5
2017-12-10,2879,6
2017-12-17,2024,6
2017-12-24,2988,7
2017-12-31,8894,31
2018-01-07,8423,31
2018-01-14,30274,30
2018-01-21,10192,29
2018-01-28,5163,29
2018-02-04,3766,30
2018-02-11,6386,30
2018-02-18,4074,29
2018-02-25,8577,29
2018-03-04,2404,30
2018-03-11,1172,30
2018-03-18,2392,31
2018-03-25,1218,6
2018-04-01,15839,31
2018-04-08,2056,4
2018-04-15,1470,29
2018-04-22,1576,30
2018-04-29,676,30
2018-05-06,783,30
2018-05-13,543,30
2018-05-20,543,6
2018-05-27,2348,7
2018-06-03,9591,32
2018-06-10,7762,32
2018-06-17,3885,6
2018-06-24,32192,5
2018-07-01,6350,30
2018-07-08,4662,31
2018-07-15,3931,5
2018-07-22,4241,5
2018-07-29,1885,29
2018-08-05,1762,29
2018-08-12,753,4
2018-08-19,925,4
2018-08-26,1361,5
2018-09-02,6640,6
2018-09-09,1961,4
2018-09-16,8771,5
2018-09-23,8546,6
2018-09-30,6966,6
2018-10-07,7281,7
2018-10-14,13507,6
2018-10-21,9654,6
2018-10-28,8908,7
2018-11-04,10136,6
2018-11-11,10993,31
2018-11-18,41129,8
2018-11-25,12654,9
2018-12-02,6123,9
2018-12-09,28154,34
2018-12-16,867,7
2018-12-23,10386,10
2018-12-30,13511,8
2019-01-06,21576,9
2019-01-13,13271,13
2019-01-20,10086,11
2019-01-27,11006,11
2019-02-03,16259,9
2019-02-10,27913,12
2019-02-17,50127,10
2019-02-24,57018,14
2019-03-03,108131,22
2019-03-10,47844,29
2019-03-17,82610,16
2019-03-24,67592,18
2019-03-31,68479,19
2019-04-07,92074,22
2019-04-14,88284,48
2019-04-21,124857,50
2019-04-28,122722,56
2019-05-05,126828,58
2019-05-12,129689,61
2019-05-19,175884,80
2019-05-26,255652,221
2019-06-02,520213,1115
2019-06-09,4154481,5105
2019-06-16,314839910,20465
2019-06-23,238165438,20568
2019-06-30,265613681,20751
2019-07-07,250667169,20483
2019-07-14,214434429,20714
2019-07-21,231905190,20888
2019-07-28,222497049,20665
2019-08-04,196389213,20873
2019-08-11,206014535,20846
2019-08-18,264234081,20512
2019-08-25,246159089,20732
2019-09-01,232523012,20459
2019-09-08,210530044,19540
2019-09-15,202065105,20287
2019-09-22,196051096,20065
2019-09-29,229736911,20506
2019-10-06,240842251,20341
2019-10-13,244675201,20604
2019-10-20,232700291,20895
2019-10-27,238334322,20878
2019-11-03,226585090,21462
2019-11-10,299627193,21331
2019-11-17,319602513,21528
2019-11-24,236376452,21529
2019-12-01,308602340,21848
2019-12-08,248138121,21081
2019-12-15,260513255,21961
2019-12-22,313536808,21933
2019-12-29,242496491,22070
2020-01-05,252658911,22190
2020-01-12,263932652,22395
2020-01-19,247261172,22327
2020-01-26,272507430,22498
2020-02-02,259269231,22526
2020-02-09,263315137,22603
2020-02-16,251834500,22746
2020-02-23,262477978,23085
2020-03-01,244056167,22918
2020-03-08,248577327,22942
2020-03-15,289153631,23330
2020-03-22,335156516,23650
2020-03-29,354384436,24216
2020-04-05,323628411,24536
2020-04-12,295117729,24325
2020-04-19,545751796,24942
2020-04-26,301423408,24542
2020-05-03,314168515,24522
2020-05-10,353561837,24716
2020-05-17,324769143,25486
2020-05-24,301540311,25637
2020-05-31,311645204,25642
2020-06-07,378454348,25749
2020-06-14,338001138,25577
2020-06-21,299263860,19285
