Date,Views,Accounts
2017-12-03,1717494,7
2017-12-10,1622694,8
2017-12-17,1104585,8
2017-12-24,909490,7
2017-12-31,1352646,31
2018-01-07,1472558,31
2018-01-14,5352810,30
2018-01-21,1631673,29
2018-01-28,1322022,29
2018-02-04,846790,30
2018-02-11,1347789,30
2018-02-18,973490,30
2018-02-25,119419,29
2018-03-04,237052,6
2018-03-11,425172,32
2018-03-18,586587,33
2018-03-25,420395,33
2018-04-01,911095,32
2018-04-08,584118,7
2018-04-15,458856,33
2018-04-22,385793,32
2018-04-29,208237,33
2018-05-06,154697,7
2018-05-13,176171,32
2018-05-20,216876,33
2018-05-27,474818,33
2018-06-03,1654069,34
2018-06-10,1453450,34
2018-06-17,742165,33
2018-06-24,7455039,32
2018-07-01,84734,30
2018-07-08,694331,32
2018-07-15,880016,32
2018-07-22,866224,31
2018-07-29,248568,31
2018-08-05,145804,30
2018-08-12,138848,30
2018-08-19,126599,31
2018-08-26,144356,6
2018-09-02,1348238,7
2018-09-09,339870,6
2018-09-16,3159385,7
2018-09-23,2475797,31
2018-09-30,1726691,32
2018-10-07,1434245,33
2018-10-14,4400242,34
2018-10-21,3396992,34
2018-10-28,2634372,34
2018-11-04,2722579,34
2018-11-11,2892492,35
2018-11-18,13016866,36
2018-11-25,5132703,38
2018-12-02,1796642,37
2018-12-09,11043993,37
2018-12-16,146400445,36
2018-12-23,578058898,37
2018-12-30,569473402,39
2019-01-06,8415668,14
2019-01-13,4790124,14
2019-01-20,3824402,14
2019-01-27,3827720,14
2019-02-03,6409804,15
2019-02-10,5189517,16
2019-02-17,17590312,15
2019-02-24,16999943,21
2019-03-03,23434454,29
2019-03-10,17849858,53
2019-03-17,29934486,23
2019-03-24,20793623,25
2019-03-31,22404488,27
2019-04-07,26355391,30
2019-04-14,26214918,59
2019-04-21,42786966,59
2019-04-28,47238321,64
2019-05-05,46319094,68
2019-05-12,44241590,74
2019-05-19,62027608,101
2019-05-26,568937995,333
2019-06-02,1047934420,1694
2019-06-09,1173025195,7358
2019-06-16,98276572580,25239
2019-06-23,101776727706,25240
2019-06-30,104728878721,25482
2019-07-07,111897120479,25272
2019-07-14,93229348652,25849
2019-07-21,88775154811,26183
2019-07-28,83586394905,25768
2019-08-04,83572244972,26346
2019-08-11,87137034652,26379
2019-08-18,98635942676,26288
2019-08-25,100994335308,27011
2019-09-01,97877314057,26872
2019-09-08,81493845218,26259
2019-09-15,94868296621,27520
2019-09-22,100748809068,27641
2019-09-29,105751977068,28010
2019-10-06,121964042146,28164
2019-10-13,117258165345,28336
2019-10-20,107896923340,28524
2019-10-27,111978273547,28660
2019-11-03,115902873977,28932
2019-11-10,179651364054,29029
2019-11-17,115306242578,29173
2019-11-24,119206209485,29427
2019-12-01,123308365814,29548
2019-12-08,118324894770,29664
2019-12-15,121250160436,29913
2019-12-22,117894286532,30001
2019-12-29,117407183423,30131
2020-01-05,129253643669,30207
2020-01-12,127039953224,30491
2020-01-19,132186264190,30744
2020-01-26,138424408547,30910
2020-02-02,134915236025,30986
2020-02-09,139422360214,31159
2020-02-16,139417267192,31277
2020-02-23,143720618446,31531
2020-03-01,137668651719,31702
2020-03-08,129657765403,32019
2020-03-15,145691983226,32135
2020-03-22,167830954685,32415
2020-03-29,176515618404,32601
2020-04-05,174611358270,32758
2020-04-12,166878760840,32847
2020-04-19,293599347684,33107
2020-04-26,174888691027,33354
2020-05-03,178057415345,33465
2020-05-10,211859219187,34099
2020-05-17,193541545808,35279
2020-05-24,175592361287,35049
2020-05-31,182010455381,35209
2020-06-07,217517756081,35419
2020-06-14,196662453003,35740
2020-06-21,178752697526,26496
