date,Amazon
2015-06-28,49
2015-07-05,52
2015-07-12,61
2015-07-19,52
2015-07-26,52
2015-08-02,51
2015-08-09,57
2015-08-16,54
2015-08-23,54
2015-08-30,52
2015-09-06,50
2015-09-13,51
2015-09-20,53
2015-09-27,53
2015-10-04,53
2015-10-11,59
2015-10-18,55
2015-10-25,58
2015-11-01,58
2015-11-08,60
2015-11-15,64
2015-11-22,83
2015-11-29,82
2015-12-06,79
2015-12-13,78
2015-12-20,72
2015-12-27,66
2016-01-03,51
2016-01-10,48
2016-01-17,49
2016-01-24,47
2016-01-31,46
2016-02-07,46
2016-02-14,45
2016-02-21,45
2016-02-28,45
2016-03-06,45
2016-03-13,44
2016-03-20,44
2016-03-27,45
2016-04-03,45
2016-04-10,44
2016-04-17,44
2016-04-24,45
2016-05-01,45
2016-05-08,44
2016-05-15,45
2016-05-22,44
2016-05-29,46
2016-06-05,44
2016-06-12,46
2016-06-19,46
2016-06-26,47
2016-07-03,48
2016-07-10,53
2016-07-17,48
2016-07-24,48
2016-07-31,50
2016-08-07,48
2016-08-14,46
2016-08-21,48
2016-08-28,49
2016-09-04,49
2016-09-11,49
2016-09-18,48
2016-09-25,51
2016-10-02,53
2016-10-09,51
2016-10-16,53
2016-10-23,54
2016-10-30,50
2016-11-06,51
2016-11-13,59
2016-11-20,79
2016-11-27,74
2016-12-04,68
2016-12-11,73
2016-12-18,66
2016-12-25,63
2017-01-01,60
2017-01-08,55
2017-01-15,55
2017-01-22,52
2017-01-29,51
2017-02-05,51
2017-02-12,48
2017-02-19,50
2017-02-26,51
2017-03-05,50
2017-03-12,48
2017-03-19,50
2017-03-26,49
2017-04-02,49
2017-04-09,49
2017-04-16,49
2017-04-23,50
2017-04-30,53
2017-05-07,54
2017-05-14,52
2017-05-21,50
2017-05-28,51
2017-06-04,51
2017-06-11,53
2017-06-18,54
2017-06-25,55
2017-07-02,54
2017-07-09,67
2017-07-16,54
2017-07-23,57
2017-07-30,59
2017-08-06,58
2017-08-13,57
2017-08-20,57
2017-08-27,60
2017-09-03,58
2017-09-10,58
2017-09-17,62
2017-09-24,60
2017-10-01,61
2017-10-08,61
2017-10-15,61
2017-10-22,60
2017-10-29,60
2017-11-05,65
2017-11-12,68
2017-11-19,91
2017-11-26,86
2017-12-03,81
2017-12-10,81
2017-12-17,77
2017-12-24,73
2017-12-31,67
2018-01-07,64
2018-01-14,62
2018-01-21,62
2018-01-28,60
2018-02-04,59
2018-02-11,55
2018-02-18,55
2018-02-25,57
2018-03-04,57
2018-03-11,55
2018-03-18,57
2018-03-25,57
2018-04-01,56
2018-04-08,55
2018-04-15,54
2018-04-22,55
2018-04-29,55
2018-05-06,55
2018-05-13,54
2018-05-20,53
2018-05-27,54
2018-06-03,56
2018-06-10,56
2018-06-17,52
2018-06-24,55
2018-07-01,54
2018-07-08,57
2018-07-15,75
2018-07-22,59
2018-07-29,57
2018-08-05,57
2018-08-12,57
2018-08-19,58
2018-08-26,59
2018-09-02,59
2018-09-09,56
2018-09-16,56
2018-09-23,56
2018-09-30,58
2018-10-07,61
2018-10-14,60
2018-10-21,60
2018-10-28,60
2018-11-04,63
2018-11-11,68
2018-11-18,89
2018-11-25,80
2018-12-02,75
2018-12-09,79
2018-12-16,78
2018-12-23,68
2018-12-30,64
2019-01-06,63
2019-01-13,59
2019-01-20,59
2019-01-27,57
2019-02-03,58
2019-02-10,56
2019-02-17,57
2019-02-24,55
2019-03-03,56
2019-03-10,54
2019-03-17,55
2019-03-24,55
2019-03-31,56
2019-04-07,56
2019-04-14,56
2019-04-21,56
2019-04-28,57
2019-05-05,57
2019-05-12,58
2019-05-19,57
2019-05-26,57
2019-06-02,58
2019-06-09,58
2019-06-16,59
2019-06-23,59
2019-06-30,60
2019-07-07,61
2019-07-14,79
2019-07-21,61
2019-07-28,60
2019-08-04,61
2019-08-11,61
2019-08-18,71
2019-08-25,65
2019-09-01,62
2019-09-08,62
2019-09-15,63
2019-09-22,63
2019-09-29,69
2019-10-06,64
2019-10-13,66
2019-10-20,69
2019-10-27,67
2019-11-03,69
2019-11-10,72
2019-11-17,82
2019-11-24,100
2019-12-01,94
2019-12-08,89
2019-12-15,89
2019-12-22,80
2019-12-29,73
2020-01-05,69
2020-01-12,66
2020-01-19,66
2020-01-26,66
2020-02-02,64
2020-02-09,64
2020-02-16,64
2020-02-23,64
2020-03-01,67
2020-03-08,67
2020-03-15,78
2020-03-22,81
2020-03-29,83
2020-04-05,86
2020-04-12,89
2020-04-19,88
2020-04-26,87
2020-05-03,86
2020-05-10,84
2020-05-17,87
2020-05-24,82
2020-05-31,80
2020-06-07,79
2020-06-14,78
2020-06-21,78
