date,Facebook
2015-06-28,100
2015-07-05,99
2015-07-12,98
2015-07-19,99
2015-07-26,99
2015-08-02,98
2015-08-09,97
2015-08-16,97
2015-08-23,97
2015-08-30,93
2015-09-06,89
2015-09-13,91
2015-09-20,96
2015-09-27,97
2015-10-04,95
2015-10-11,96
2015-10-18,93
2015-10-25,94
2015-11-01,92
2015-11-08,93
2015-11-15,95
2015-11-22,91
2015-11-29,90
2015-12-06,90
2015-12-13,90
2015-12-20,93
2015-12-27,95
2016-01-03,98
2016-01-10,95
2016-01-17,95
2016-01-24,97
2016-01-31,94
2016-02-07,93
2016-02-14,95
2016-02-21,92
2016-02-28,94
2016-03-06,93
2016-03-13,91
2016-03-20,94
2016-03-27,94
2016-04-03,92
2016-04-10,92
2016-04-17,92
2016-04-24,91
2016-05-01,93
2016-05-08,91
2016-05-15,92
2016-05-22,92
2016-05-29,92
2016-06-05,91
2016-06-12,92
2016-06-19,91
2016-06-26,90
2016-07-03,90
2016-07-10,89
2016-07-17,90
2016-07-24,90
2016-07-31,90
2016-08-07,88
2016-08-14,88
2016-08-21,85
2016-08-28,87
2016-09-04,75
2016-09-11,79
2016-09-18,83
2016-09-25,79
2016-10-02,81
2016-10-09,80
2016-10-16,79
2016-10-23,78
2016-10-30,79
2016-11-06,75
2016-11-13,74
2016-11-20,76
2016-11-27,74
2016-12-04,74
2016-12-11,74
2016-12-18,76
2016-12-25,77
2017-01-01,76
2017-01-08,72
2017-01-15,71
2017-01-22,73
2017-01-29,71
2017-02-05,72
2017-02-12,71
2017-02-19,71
2017-02-26,70
2017-03-05,70
2017-03-12,69
2017-03-19,68
2017-03-26,70
2017-04-02,69
2017-04-09,71
2017-04-16,70
2017-04-23,68
2017-04-30,71
2017-05-07,67
2017-05-14,68
2017-05-21,69
2017-05-28,68
2017-06-04,68
2017-06-11,69
2017-06-18,67
2017-06-25,68
2017-07-02,66
2017-07-09,67
2017-07-16,67
2017-07-23,68
2017-07-30,67
2017-08-06,67
2017-08-13,69
2017-08-20,69
2017-08-27,68
2017-09-03,64
2017-09-10,65
2017-09-17,63
2017-09-24,64
2017-10-01,63
2017-10-08,62
2017-10-15,64
2017-10-22,61
2017-10-29,60
2017-11-05,61
2017-11-12,58
2017-11-19,58
2017-11-26,58
2017-12-03,56
2017-12-10,56
2017-12-17,58
2017-12-24,60
2017-12-31,59
2018-01-07,55
2018-01-14,54
2018-01-21,53
2018-01-28,53
2018-02-04,52
2018-02-11,53
2018-02-18,53
2018-02-25,52
2018-03-04,51
2018-03-11,52
2018-03-18,53
2018-03-25,52
2018-04-01,51
2018-04-08,51
2018-04-15,50
2018-04-22,49
2018-04-29,48
2018-05-06,49
2018-05-13,47
2018-05-20,48
2018-05-27,47
2018-06-03,48
2018-06-10,46
2018-06-17,46
2018-06-24,46
2018-07-01,45
2018-07-08,46
2018-07-15,44
2018-07-22,46
2018-07-29,45
2018-08-05,44
2018-08-12,44
2018-08-19,44
2018-08-26,43
2018-09-02,44
2018-09-09,45
2018-09-16,43
2018-09-23,40
2018-09-30,40
2018-10-07,40
2018-10-14,40
2018-10-21,40
2018-10-28,40
2018-11-04,40
2018-11-11,39
2018-11-18,40
2018-11-25,38
2018-12-02,38
2018-12-09,38
2018-12-16,38
2018-12-23,40
2018-12-30,40
2019-01-06,38
2019-01-13,37
2019-01-20,37
2019-01-27,36
2019-02-03,36
2019-02-10,37
2019-02-17,37
2019-02-24,35
2019-03-03,36
2019-03-10,37
2019-03-17,36
2019-03-24,35
2019-03-31,34
2019-04-07,34
2019-04-14,35
2019-04-21,35
2019-04-28,35
2019-05-05,35
2019-05-12,36
2019-05-19,36
2019-05-26,36
2019-06-02,36
2019-06-09,36
2019-06-16,36
2019-06-23,35
2019-06-30,35
2019-07-07,34
2019-07-14,34
2019-07-21,35
2019-07-28,35
2019-08-04,35
2019-08-11,35
2019-08-18,34
2019-08-25,33
2019-09-01,32
2019-09-08,32
2019-09-15,32
2019-09-22,32
2019-09-29,32
2019-10-06,32
2019-10-13,32
2019-10-20,32
2019-10-27,32
2019-11-03,32
2019-11-10,31
2019-11-17,32
2019-11-24,31
2019-12-01,31
2019-12-08,32
2019-12-15,31
2019-12-22,33
2019-12-29,33
2020-01-05,31
2020-01-12,30
2020-01-19,30
2020-01-26,30
2020-02-02,29
2020-02-09,29
2020-02-16,30
2020-02-23,30
2020-03-01,29
2020-03-08,30
2020-03-15,33
2020-03-22,34
2020-03-29,33
2020-04-05,33
2020-04-12,32
2020-04-19,31
2020-04-26,32
2020-05-03,30
2020-05-10,31
2020-05-17,31
2020-05-24,30
2020-05-31,30
2020-06-07,29
2020-06-14,29
2020-06-21,31
