date,HBO
2015-06-28,20
2015-07-05,19
2015-07-12,19
2015-07-19,19
2015-07-26,18
2015-08-02,18
2015-08-09,20
2015-08-16,19
2015-08-23,18
2015-08-30,16
2015-09-06,16
2015-09-13,15
2015-09-20,17
2015-09-27,15
2015-10-04,15
2015-10-11,15
2015-10-18,15
2015-10-25,14
2015-11-01,15
2015-11-08,15
2015-11-15,15
2015-11-22,17
2015-11-29,15
2015-12-06,16
2015-12-13,14
2015-12-20,17
2015-12-27,19
2016-01-03,16
2016-01-10,16
2016-01-17,15
2016-01-24,15
2016-01-31,14
2016-02-07,14
2016-02-14,17
2016-02-21,16
2016-02-28,15
2016-03-06,15
2016-03-13,14
2016-03-20,16
2016-03-27,16
2016-04-03,16
2016-04-10,18
2016-04-17,25
2016-04-24,63
2016-05-01,35
2016-05-08,28
2016-05-15,27
2016-05-22,27
2016-05-29,26
2016-06-05,24
2016-06-12,23
2016-06-19,30
2016-06-26,33
2016-07-03,22
2016-07-10,20
2016-07-17,20
2016-07-24,19
2016-07-31,18
2016-08-07,16
2016-08-14,16
2016-08-21,17
2016-08-28,18
2016-09-04,17
2016-09-11,15
2016-09-18,15
2016-09-25,15
2016-10-02,21
2016-10-09,19
2016-10-16,18
2016-10-23,17
2016-10-30,18
2016-11-06,17
2016-11-13,18
2016-11-20,18
2016-11-27,21
2016-12-04,20
2016-12-11,18
2016-12-18,18
2016-12-25,20
2017-01-01,22
2017-01-08,19
2017-01-15,18
2017-01-22,17
2017-01-29,18
2017-02-05,16
2017-02-12,18
2017-02-19,19
2017-02-26,18
2017-03-05,18
2017-03-12,17
2017-03-19,17
2017-03-26,17
2017-04-02,17
2017-04-09,17
2017-04-16,19
2017-04-23,18
2017-04-30,18
2017-05-07,16
2017-05-14,16
2017-05-21,18
2017-05-28,16
2017-06-04,16
2017-06-11,16
2017-06-18,17
2017-06-25,17
2017-07-02,20
2017-07-09,31
2017-07-16,70
2017-07-23,44
2017-07-30,42
2017-08-06,40
2017-08-13,43
2017-08-20,37
2017-08-27,45
2017-09-03,25
2017-09-10,24
2017-09-17,21
2017-09-24,20
2017-10-01,19
2017-10-08,18
2017-10-15,17
2017-10-22,16
2017-10-29,16
2017-11-05,17
2017-11-12,17
2017-11-19,17
2017-11-26,18
2017-12-03,18
2017-12-10,18
2017-12-17,19
2017-12-24,22
2017-12-31,22
2018-01-07,20
2018-01-14,20
2018-01-21,19
2018-01-28,19
2018-02-04,17
2018-02-11,17
2018-02-18,18
2018-02-25,16
2018-03-04,15
2018-03-11,15
2018-03-18,16
2018-03-25,18
2018-04-01,17
2018-04-08,17
2018-04-15,17
2018-04-22,20
2018-04-29,18
2018-05-06,17
2018-05-13,17
2018-05-20,17
2018-05-27,17
2018-06-03,17
2018-06-10,16
2018-06-17,16
2018-06-24,17
2018-07-01,17
2018-07-08,19
2018-07-15,17
2018-07-22,17
2018-07-29,17
2018-08-05,18
2018-08-12,18
2018-08-19,17
2018-08-26,19
2018-09-02,17
2018-09-09,16
2018-09-16,16
2018-09-23,15
2018-09-30,15
2018-10-07,15
2018-10-14,15
2018-10-21,14
2018-10-28,16
2018-11-04,16
2018-11-11,16
2018-11-18,17
2018-11-25,16
2018-12-02,16
2018-12-09,15
2018-12-16,15
2018-12-23,19
2018-12-30,20
2019-01-06,19
2019-01-13,21
2019-01-20,18
2019-01-27,18
2019-02-03,17
2019-02-10,17
2019-02-17,17
2019-02-24,18
2019-03-03,28
2019-03-10,24
2019-03-17,22
2019-03-24,22
2019-03-31,25
2019-04-07,41
2019-04-14,100
2019-04-21,52
2019-04-28,56
2019-05-05,51
2019-05-12,52
2019-05-19,62
2019-05-26,50
2019-06-02,52
2019-06-09,44
2019-06-16,37
2019-06-23,30
2019-06-30,27
2019-07-07,28
2019-07-14,28
2019-07-21,26
2019-07-28,24
2019-08-04,25
2019-08-11,25
2019-08-18,24
2019-08-25,21
2019-09-01,20
2019-09-08,20
2019-09-15,19
2019-09-22,19
2019-09-29,19
2019-10-06,18
2019-10-13,20
2019-10-20,26
2019-10-27,26
2019-11-03,24
2019-11-10,23
2019-11-17,21
2019-11-24,20
2019-12-01,20
2019-12-08,20
2019-12-15,20
2019-12-22,24
2019-12-29,26
2020-01-05,23
2020-01-12,27
2020-01-19,24
2020-01-26,21
2020-02-02,20
2020-02-09,19
2020-02-16,21
2020-02-23,19
2020-03-01,19
2020-03-08,21
2020-03-15,31
2020-03-22,31
2020-03-29,36
2020-04-05,36
2020-04-12,34
2020-04-19,32
2020-04-26,30
2020-05-03,27
2020-05-10,26
2020-05-17,29
2020-05-24,45
2020-05-31,30
2020-06-07,28
2020-06-14,27
2020-06-21,32
