date,Microsoft Teams
2015-06-28,0
2015-07-05,0
2015-07-12,0
2015-07-19,0
2015-07-26,0
2015-08-02,0
2015-08-09,0
2015-08-16,0
2015-08-23,0
2015-08-30,0
2015-09-06,0
2015-09-13,0
2015-09-20,0
2015-09-27,0
2015-10-04,0
2015-10-11,0
2015-10-18,0
2015-10-25,0
2015-11-01,0
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,0
2016-01-10,0
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,0
2016-02-14,0
2016-02-21,0
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,0
2016-04-03,0
2016-04-10,0
2016-04-17,0
2016-04-24,0
2016-05-01,0
2016-05-08,0
2016-05-15,0
2016-05-22,0
2016-05-29,0
2016-06-05,0
2016-06-12,0
2016-06-19,0
2016-06-26,0
2016-07-03,0
2016-07-10,0
2016-07-17,0
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,0
2016-09-04,0
2016-09-11,0
2016-09-18,0
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,2
2016-11-06,1
2016-11-13,1
2016-11-20,0
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,0
2017-02-05,0
2017-02-12,0
2017-02-19,0
2017-02-26,0
2017-03-05,1
2017-03-12,2
2017-03-19,1
2017-03-26,1
2017-04-02,1
2017-04-09,1
2017-04-16,1
2017-04-23,1
2017-04-30,1
2017-05-07,1
2017-05-14,1
2017-05-21,1
2017-05-28,1
2017-06-04,1
2017-06-11,1
2017-06-18,1
2017-06-25,1
2017-07-02,1
2017-07-09,1
2017-07-16,1
2017-07-23,1
2017-07-30,1
2017-08-06,1
2017-08-13,1
2017-08-20,1
2017-08-27,1
2017-09-03,1
2017-09-10,1
2017-09-17,1
2017-09-24,2
2017-10-01,1
2017-10-08,1
2017-10-15,1
2017-10-22,1
2017-10-29,1
2017-11-05,1
2017-11-12,1
2017-11-19,1
2017-11-26,1
2017-12-03,1
2017-12-10,1
2017-12-17,1
2017-12-24,0
2017-12-31,1
2018-01-07,1
2018-01-14,1
2018-01-21,1
2018-01-28,1
2018-02-04,1
2018-02-11,1
2018-02-18,1
2018-02-25,2
2018-03-04,2
2018-03-11,2
2018-03-18,1
2018-03-25,1
2018-04-01,1
2018-04-08,1
2018-04-15,2
2018-04-22,1
2018-04-29,1
2018-05-06,2
2018-05-13,2
2018-05-20,1
2018-05-27,1
2018-06-03,1
2018-06-10,2
2018-06-17,2
2018-06-24,2
2018-07-01,1
2018-07-08,2
2018-07-15,2
2018-07-22,2
2018-07-29,2
2018-08-05,2
2018-08-12,2
2018-08-19,2
2018-08-26,2
2018-09-02,2
2018-09-09,2
2018-09-16,2
2018-09-23,2
2018-09-30,2
2018-10-07,2
2018-10-14,3
2018-10-21,3
2018-10-28,2
2018-11-04,3
2018-11-11,3
2018-11-18,2
2018-11-25,3
2018-12-02,3
2018-12-09,3
2018-12-16,2
2018-12-23,1
2018-12-30,1
2019-01-06,3
2019-01-13,3
2019-01-20,3
2019-01-27,3
2019-02-03,4
2019-02-10,4
2019-02-17,4
2019-02-24,3
2019-03-03,4
2019-03-10,3
2019-03-17,4
2019-03-24,4
2019-03-31,4
2019-04-07,4
2019-04-14,3
2019-04-21,3
2019-04-28,4
2019-05-05,4
2019-05-12,4
2019-05-19,4
2019-05-26,4
2019-06-02,4
2019-06-09,4
2019-06-16,4
2019-06-23,4
2019-06-30,4
2019-07-07,5
2019-07-14,5
2019-07-21,4
2019-07-28,5
2019-08-04,5
2019-08-11,6
2019-08-18,8
2019-08-25,7
2019-09-01,6
2019-09-08,7
2019-09-15,7
2019-09-22,7
2019-09-29,6
2019-10-06,7
2019-10-13,6
2019-10-20,7
2019-10-27,6
2019-11-03,7
2019-11-10,7
2019-11-17,7
2019-11-24,5
2019-12-01,6
2019-12-08,6
2019-12-15,6
2019-12-22,2
2019-12-29,3
2020-01-05,6
2020-01-12,7
2020-01-19,8
2020-01-26,8
2020-02-02,11
2020-02-09,8
2020-02-16,9
2020-02-23,9
2020-03-01,12
2020-03-08,24
2020-03-15,84
2020-03-22,100
2020-03-29,90
2020-04-05,72
2020-04-12,79
2020-04-19,92
2020-04-26,77
2020-05-03,73
2020-05-10,70
2020-05-17,62
2020-05-24,54
2020-05-31,56
2020-06-07,52
2020-06-14,50
2020-06-21,45
