date,Prime Video
2015-06-28,4
2015-07-05,4
2015-07-12,5
2015-07-19,4
2015-07-26,5
2015-08-02,4
2015-08-09,4
2015-08-16,5
2015-08-23,4
2015-08-30,5
2015-09-06,5
2015-09-13,4
2015-09-20,5
2015-09-27,5
2015-10-04,5
2015-10-11,5
2015-10-18,5
2015-10-25,5
2015-11-01,5
2015-11-08,5
2015-11-15,6
2015-11-22,7
2015-11-29,7
2015-12-06,7
2015-12-13,7
2015-12-20,10
2015-12-27,10
2016-01-03,7
2016-01-10,7
2016-01-17,6
2016-01-24,6
2016-01-31,6
2016-02-07,6
2016-02-14,5
2016-02-21,5
2016-02-28,5
2016-03-06,5
2016-03-13,5
2016-03-20,5
2016-03-27,5
2016-04-03,5
2016-04-10,4
2016-04-17,5
2016-04-24,5
2016-05-01,5
2016-05-08,5
2016-05-15,5
2016-05-22,5
2016-05-29,5
2016-06-05,5
2016-06-12,5
2016-06-19,5
2016-06-26,5
2016-07-03,6
2016-07-10,6
2016-07-17,6
2016-07-24,6
2016-07-31,6
2016-08-07,5
2016-08-14,5
2016-08-21,5
2016-08-28,6
2016-09-04,5
2016-09-11,6
2016-09-18,6
2016-09-25,6
2016-10-02,6
2016-10-09,6
2016-10-16,7
2016-10-23,7
2016-10-30,8
2016-11-06,7
2016-11-13,9
2016-11-20,9
2016-11-27,9
2016-12-04,8
2016-12-11,19
2016-12-18,15
2016-12-25,15
2017-01-01,14
2017-01-08,14
2017-01-15,14
2017-01-22,14
2017-01-29,13
2017-02-05,12
2017-02-12,11
2017-02-19,13
2017-02-26,13
2017-03-05,12
2017-03-12,13
2017-03-19,12
2017-03-26,12
2017-04-02,12
2017-04-09,13
2017-04-16,13
2017-04-23,13
2017-04-30,14
2017-05-07,13
2017-05-14,12
2017-05-21,13
2017-05-28,12
2017-06-04,12
2017-06-11,12
2017-06-18,12
2017-06-25,15
2017-07-02,15
2017-07-09,17
2017-07-16,15
2017-07-23,17
2017-07-30,16
2017-08-06,16
2017-08-13,16
2017-08-20,15
2017-08-27,14
2017-09-03,14
2017-09-10,13
2017-09-17,13
2017-09-24,14
2017-10-01,14
2017-10-08,16
2017-10-15,16
2017-10-22,15
2017-10-29,17
2017-11-05,20
2017-11-12,19
2017-11-19,20
2017-11-26,20
2017-12-03,24
2017-12-10,25
2017-12-17,27
2017-12-24,30
2017-12-31,28
2018-01-07,24
2018-01-14,24
2018-01-21,24
2018-01-28,23
2018-02-04,22
2018-02-11,24
2018-02-18,23
2018-02-25,24
2018-03-04,23
2018-03-11,22
2018-03-18,24
2018-03-25,28
2018-04-01,25
2018-04-08,23
2018-04-15,22
2018-04-22,23
2018-04-29,24
2018-05-06,25
2018-05-13,25
2018-05-20,26
2018-05-27,27
2018-06-03,26
2018-06-10,25
2018-06-17,24
2018-06-24,24
2018-07-01,25
2018-07-08,26
2018-07-15,29
2018-07-22,28
2018-07-29,27
2018-08-05,26
2018-08-12,28
2018-08-19,29
2018-08-26,30
2018-09-02,32
2018-09-09,30
2018-09-16,28
2018-09-23,27
2018-09-30,28
2018-10-07,29
2018-10-14,29
2018-10-21,27
2018-10-28,28
2018-11-04,28
2018-11-11,29
2018-11-18,31
2018-11-25,31
2018-12-02,34
2018-12-09,34
2018-12-16,36
2018-12-23,43
2018-12-30,40
2019-01-06,33
2019-01-13,32
2019-01-20,31
2019-01-27,31
2019-02-03,32
2019-02-10,32
2019-02-17,33
2019-02-24,29
2019-03-03,31
2019-03-10,31
2019-03-17,31
2019-03-24,30
2019-03-31,31
2019-04-07,30
2019-04-14,35
2019-04-21,33
2019-04-28,33
2019-05-05,31
2019-05-12,32
2019-05-19,34
2019-05-26,34
2019-06-02,34
2019-06-09,32
2019-06-16,33
2019-06-23,33
2019-06-30,34
2019-07-07,36
2019-07-14,37
2019-07-21,37
2019-07-28,39
2019-08-04,39
2019-08-11,43
2019-08-18,39
2019-08-25,38
2019-09-01,41
2019-09-08,41
2019-09-15,41
2019-09-22,43
2019-09-29,43
2019-10-06,43
2019-10-13,43
2019-10-20,45
2019-10-27,46
2019-11-03,48
2019-11-10,48
2019-11-17,50
2019-11-24,50
2019-12-01,56
2019-12-08,55
2019-12-15,60
2019-12-22,71
2019-12-29,66
2020-01-05,53
2020-01-12,50
2020-01-19,53
2020-01-26,50
2020-02-02,48
2020-02-09,49
2020-02-16,52
2020-02-23,53
2020-03-01,53
2020-03-08,61
2020-03-15,80
2020-03-22,100
2020-03-29,96
2020-04-05,97
2020-04-12,95
2020-04-19,93
2020-04-26,89
2020-05-03,83
2020-05-10,86
2020-05-17,81
2020-05-24,81
2020-05-31,75
2020-06-07,77
2020-06-14,74
2020-06-21,78
