date,Reedit
2015-06-28,69
2015-07-05,73
2015-07-12,83
2015-07-19,85
2015-07-26,72
2015-08-02,91
2015-08-09,77
2015-08-16,71
2015-08-23,66
2015-08-30,77
2015-09-06,60
2015-09-13,70
2015-09-20,65
2015-09-27,70
2015-10-04,84
2015-10-11,68
2015-10-18,82
2015-10-25,70
2015-11-01,71
2015-11-08,73
2015-11-15,75
2015-11-22,63
2015-11-29,60
2015-12-06,74
2015-12-13,77
2015-12-20,73
2015-12-27,72
2016-01-03,83
2016-01-10,74
2016-01-17,70
2016-01-24,73
2016-01-31,63
2016-02-07,56
2016-02-14,78
2016-02-21,74
2016-02-28,80
2016-03-06,65
2016-03-13,57
2016-03-20,80
2016-03-27,73
2016-04-03,84
2016-04-10,85
2016-04-17,60
2016-04-24,70
2016-05-01,78
2016-05-08,84
2016-05-15,79
2016-05-22,64
2016-05-29,79
2016-06-05,55
2016-06-12,84
2016-06-19,75
2016-06-26,84
2016-07-03,82
2016-07-10,70
2016-07-17,61
2016-07-24,65
2016-07-31,75
2016-08-07,79
2016-08-14,75
2016-08-21,79
2016-08-28,75
2016-09-04,71
2016-09-11,58
2016-09-18,65
2016-09-25,77
2016-10-02,63
2016-10-09,83
2016-10-16,67
2016-10-23,64
2016-10-30,66
2016-11-06,71
2016-11-13,62
2016-11-20,74
2016-11-27,71
2016-12-04,65
2016-12-11,82
2016-12-18,74
2016-12-25,76
2017-01-01,85
2017-01-08,62
2017-01-15,79
2017-01-22,66
2017-01-29,75
2017-02-05,78
2017-02-12,65
2017-02-19,89
2017-02-26,73
2017-03-05,79
2017-03-12,75
2017-03-19,80
2017-03-26,87
2017-04-02,77
2017-04-09,79
2017-04-16,85
2017-04-23,65
2017-04-30,84
2017-05-07,77
2017-05-14,67
2017-05-21,64
2017-05-28,84
2017-06-04,70
2017-06-11,63
2017-06-18,72
2017-06-25,64
2017-07-02,60
2017-07-09,57
2017-07-16,65
2017-07-23,67
2017-07-30,88
2017-08-06,74
2017-08-13,78
2017-08-20,72
2017-08-27,93
2017-09-03,64
2017-09-10,76
2017-09-17,64
2017-09-24,70
2017-10-01,69
2017-10-08,82
2017-10-15,80
2017-10-22,72
2017-10-29,69
2017-11-05,72
2017-11-12,81
2017-11-19,82
2017-11-26,57
2017-12-03,79
2017-12-10,81
2017-12-17,71
2017-12-24,73
2017-12-31,84
2018-01-07,75
2018-01-14,75
2018-01-21,80
2018-01-28,93
2018-02-04,81
2018-02-11,79
2018-02-18,69
2018-02-25,70
2018-03-04,79
2018-03-11,70
2018-03-18,77
2018-03-25,73
2018-04-01,84
2018-04-08,86
2018-04-15,67
2018-04-22,70
2018-04-29,81
2018-05-06,75
2018-05-13,60
2018-05-20,76
2018-05-27,77
2018-06-03,87
2018-06-10,74
2018-06-17,78
2018-06-24,69
2018-07-01,79
2018-07-08,79
2018-07-15,69
2018-07-22,70
2018-07-29,63
2018-08-05,54
2018-08-12,77
2018-08-19,72
2018-08-26,71
2018-09-02,82
2018-09-09,73
2018-09-16,76
2018-09-23,73
2018-09-30,67
2018-10-07,80
2018-10-14,87
2018-10-21,87
2018-10-28,72
2018-11-04,73
2018-11-11,60
2018-11-18,72
2018-11-25,81
2018-12-02,76
2018-12-09,79
2018-12-16,76
2018-12-23,78
2018-12-30,62
2019-01-06,75
2019-01-13,84
2019-01-20,73
2019-01-27,81
2019-02-03,73
2019-02-10,84
2019-02-17,72
2019-02-24,86
2019-03-03,74
2019-03-10,82
2019-03-17,78
2019-03-24,80
2019-03-31,65
2019-04-07,80
2019-04-14,78
2019-04-21,89
2019-04-28,76
2019-05-05,79
2019-05-12,87
2019-05-19,85
2019-05-26,78
2019-06-02,95
2019-06-09,68
2019-06-16,78
2019-06-23,72
2019-06-30,72
2019-07-07,79
2019-07-14,65
2019-07-21,69
2019-07-28,61
2019-08-04,74
2019-08-11,81
2019-08-18,80
2019-08-25,84
2019-09-01,72
2019-09-08,80
2019-09-15,68
2019-09-22,82
2019-09-29,71
2019-10-06,76
2019-10-13,69
2019-10-20,79
2019-10-27,74
2019-11-03,68
2019-11-10,73
2019-11-17,72
2019-11-24,69
2019-12-01,70
2019-12-08,66
2019-12-15,67
2019-12-22,70
2019-12-29,75
2020-01-05,71
2020-01-12,80
2020-01-19,70
2020-01-26,64
2020-02-02,74
2020-02-09,66
2020-02-16,82
2020-02-23,73
2020-03-01,76
2020-03-08,81
2020-03-15,63
2020-03-22,80
2020-03-29,77
2020-04-05,78
2020-04-12,68
2020-04-19,69
2020-04-26,81
2020-05-03,95
2020-05-10,100
2020-05-17,85
2020-05-24,76
2020-05-31,87
2020-06-07,96
2020-06-14,88
2020-06-21,80
