date,Twitch
2015-06-28,49
2015-07-05,49
2015-07-12,52
2015-07-19,52
2015-07-26,54
2015-08-02,59
2015-08-09,52
2015-08-16,60
2015-08-23,56
2015-08-30,48
2015-09-06,44
2015-09-13,43
2015-09-20,45
2015-09-27,51
2015-10-04,47
2015-10-11,45
2015-10-18,44
2015-10-25,56
2015-11-01,51
2015-11-08,47
2015-11-15,44
2015-11-22,43
2015-11-29,43
2015-12-06,44
2015-12-13,43
2015-12-20,46
2015-12-27,48
2016-01-03,46
2016-01-10,45
2016-01-17,44
2016-01-24,44
2016-01-31,44
2016-02-07,43
2016-02-14,43
2016-02-21,43
2016-02-28,46
2016-03-06,43
2016-03-13,41
2016-03-20,46
2016-03-27,53
2016-04-03,44
2016-04-10,41
2016-04-17,43
2016-04-24,43
2016-05-01,44
2016-05-08,39
2016-05-15,41
2016-05-22,40
2016-05-29,42
2016-06-05,43
2016-06-12,48
2016-06-19,41
2016-06-26,42
2016-07-03,45
2016-07-10,37
2016-07-17,37
2016-07-24,36
2016-07-31,40
2016-08-07,41
2016-08-14,38
2016-08-21,37
2016-08-28,37
2016-09-04,38
2016-09-11,34
2016-09-18,34
2016-09-25,41
2016-10-02,42
2016-10-09,35
2016-10-16,34
2016-10-23,35
2016-10-30,38
2016-11-06,34
2016-11-13,35
2016-11-20,35
2016-11-27,37
2016-12-04,37
2016-12-11,35
2016-12-18,37
2016-12-25,38
2017-01-01,42
2017-01-08,41
2017-01-15,40
2017-01-22,47
2017-01-29,41
2017-02-05,39
2017-02-12,38
2017-02-19,39
2017-02-26,41
2017-03-05,38
2017-03-12,40
2017-03-19,38
2017-03-26,38
2017-04-02,39
2017-04-09,42
2017-04-16,42
2017-04-23,49
2017-04-30,47
2017-05-07,42
2017-05-14,37
2017-05-21,35
2017-05-28,36
2017-06-04,37
2017-06-11,39
2017-06-18,37
2017-06-25,39
2017-07-02,41
2017-07-09,39
2017-07-16,46
2017-07-23,38
2017-07-30,40
2017-08-06,43
2017-08-13,36
2017-08-20,38
2017-08-27,44
2017-09-03,37
2017-09-10,37
2017-09-17,36
2017-09-24,36
2017-10-01,38
2017-10-08,40
2017-10-15,43
2017-10-22,41
2017-10-29,44
2017-11-05,42
2017-11-12,42
2017-11-19,39
2017-11-26,39
2017-12-03,43
2017-12-10,42
2017-12-17,41
2017-12-24,43
2017-12-31,46
2018-01-07,52
2018-01-14,51
2018-01-21,54
2018-01-28,49
2018-02-04,47
2018-02-11,48
2018-02-18,49
2018-02-25,91
2018-03-04,67
2018-03-11,66
2018-03-18,63
2018-03-25,71
2018-04-01,65
2018-04-08,64
2018-04-15,59
2018-04-22,56
2018-04-29,56
2018-05-06,94
2018-05-13,66
2018-05-20,61
2018-05-27,63
2018-06-03,61
2018-06-10,65
2018-06-17,54
2018-06-24,54
2018-07-01,52
2018-07-08,56
2018-07-15,57
2018-07-22,57
2018-07-29,62
2018-08-05,57
2018-08-12,60
2018-08-19,65
2018-08-26,59
2018-09-02,56
2018-09-09,55
2018-09-16,52
2018-09-23,49
2018-09-30,47
2018-10-07,48
2018-10-14,48
2018-10-21,48
2018-10-28,51
2018-11-04,47
2018-11-11,49
2018-11-18,48
2018-11-25,47
2018-12-02,49
2018-12-09,46
2018-12-16,45
2018-12-23,47
2018-12-30,52
2019-01-06,50
2019-01-13,50
2019-01-20,51
2019-01-27,49
2019-02-03,48
2019-02-10,55
2019-02-17,63
2019-02-24,52
2019-03-03,49
2019-03-10,46
2019-03-17,47
2019-03-24,48
2019-03-31,45
2019-04-07,44
2019-04-14,47
2019-04-21,45
2019-04-28,43
2019-05-05,45
2019-05-12,46
2019-05-19,45
2019-05-26,50
2019-06-02,50
2019-06-09,55
2019-06-16,50
2019-06-23,50
2019-06-30,50
2019-07-07,54
2019-07-14,55
2019-07-21,56
2019-07-28,56
2019-08-04,52
2019-08-11,57
2019-08-18,57
2019-08-25,56
2019-09-01,52
2019-09-08,49
2019-09-15,48
2019-09-22,47
2019-09-29,45
2019-10-06,45
2019-10-13,57
2019-10-20,47
2019-10-27,46
2019-11-03,45
2019-11-10,48
2019-11-17,44
2019-11-24,42
2019-12-01,44
2019-12-08,47
2019-12-15,48
2019-12-22,46
2019-12-29,49
2020-01-05,50
2020-01-12,47
2020-01-19,51
2020-01-26,50
2020-02-02,48
2020-02-09,50
2020-02-16,56
2020-02-23,52
2020-03-01,49
2020-03-08,51
2020-03-15,68
2020-03-22,82
2020-03-29,83
2020-04-05,93
2020-04-12,96
2020-04-19,99
2020-04-26,100
2020-05-03,96
2020-05-10,94
2020-05-17,93
2020-05-24,91
2020-05-31,85
2020-06-07,92
2020-06-14,93
2020-06-21,87
